"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"Rpeaks[0]",106,"right"
1,"Rpeaks[1]",142,"left"
1,"Rpeaks[2]",174,"right"
1,"Rpeaks[3]",211,"left"
1,"Rpeaks[4]",247,"right"
1,"Rpeaks[5]",282,"left"
1,"Rpeaks[6]",318,"right"
1,"Rpeaks[7]",356,"left"
1,"Rpeaks[8]",393,"right"
1,"Rpeaks[9]",428,"left"
1,"Rpeaks[10]",466,"right"
1,"Rpeaks[11]",500,"left"
1,"Rpeaks[12]",538,"right"
1,"Rpeaks[13]",575,"left"
1,"Rpeaks[14]",608,"right"
1,"Rpeaks[15]",644,"left"
1,"Rpeaks[16]",680,"right"
1,"Rpeaks[17]",717,"left"
1,"Rpeaks[18]",754,"right"
1,"Rpeaks[19]",787,"left"
1,"Rpeaks[20]",824,"right"
1,"Rpeaks[21]",859,"left"
1,"Rpeaks[22]",897,"right"
1,"Rpeaks[23]",931,"left"
1,"Rpeaks[24]",969,"right"
1,"Rpeaks[25]",1007,"left"
1,"Rpeaks[26]",1041,"right"
1,"Rpeaks[27]",1076,"left"
1,"Rpeaks[28]",1115,"right"
1,"Rpeaks[29]",1149,"left"
1,"Rpeaks[30]",1187,"right"
1,"Rpeaks[31]",1225,"left"
1,"Rpeaks[32]",1259,"right"
1,"Rpeaks[33]",1293,"left"
1,"Rpeaks[34]",1331,"right"
1,"Rpeaks[35]",1367,"left"
1,"Rpeaks[36]",1404,"right"
1,"Rpeaks[37]",1440,"left"
1,"Rpeaks[38]",1478,"right"
1,"Rpeaks[39]",1513,"left"
1,"Rpeaks[40]",1550,"right"
1,"Rpeaks[41]",1587,"left"
1,"Rpeaks[42]",1624,"right"
1,"Rpeaks[43]",1661,"left"
1,"Rpeaks[44]",1696,"right"
1,"Rpeaks[45]",1730,"left"
1,"Rpeaks[46]",1768,"right"
1,"Rpeaks[47]",1803,"left"
1,"Rpeaks[48]",1841,"right"
1,"Rpeaks[49]",1877,"left"
1,"Rpeaks[50]",1914,"right"
1,"Rpeaks[51]",1951,"left"
1,"Rpeaks[52]",1987,"right"
1,"Rpeaks[53]",2025,"left"
1,"Rpeaks[54]",2059,"right"
1,"Rpeaks[55]",2094,"left"
1,"Rpeaks[56]",2131,"right"
1,"Rpeaks[57]",2166,"left"
1,"Rpeaks[58]",2204,"right"
1,"Rpeaks[59]",2242,"left"
1,"Rpeaks[60]",2275,"right"
1,"Rpeaks[61]",2310,"left"
1,"Rpeaks[62]",2349,"right"
1,"Rpeaks[63]",2383,"left"
1,"Rpeaks[64]",2421,"right"
1,"Rpeaks[65]",2456,"left"
1,"Rpeaks[66]",2494,"right"
1,"Rpeaks[67]",2529,"left"
1,"Rpeaks[68]",2569,"right"
1,"Rpeaks[69]",2602,"left"
1,"Rpeaks[70]",2640,"right"
1,"Rpeaks[71]",2675,"left"
1,"Rpeaks[72]",2713,"right"
1,"Rpeaks[73]",2748,"left"
1,"Rpeaks[74]",2788,"right"
1,"Rpeaks[75]",2825,"left"
1,"Rpeaks[76]",2859,"right"
1,"Rpeaks[77]",2897,"left"
1,"Rpeaks[78]",2931,"right"
1,"Rpeaks[79]",2969,"left"
