"Interval_no","Peaks_Index","Peaks_value"
1,"Rpeaks[0]",107
1,"Rpeaks[1]",144
1,"Rpeaks[2]",180
1,"Rpeaks[3]",218
1,"Rpeaks[4]",252
1,"Rpeaks[5]",289
1,"Rpeaks[6]",325
1,"Rpeaks[7]",362
1,"Rpeaks[8]",398
1,"Rpeaks[9]",435
1,"Rpeaks[10]",472
1,"Rpeaks[11]",510
1,"Rpeaks[12]",545
1,"Rpeaks[13]",582
1,"Rpeaks[14]",618
1,"Rpeaks[15]",656
1,"Rpeaks[16]",691
1,"Rpeaks[17]",728
1,"Rpeaks[18]",764
1,"Rpeaks[19]",801
1,"Rpeaks[20]",837
1,"Rpeaks[21]",873
1,"Rpeaks[22]",909
1,"Rpeaks[23]",947
1,"Rpeaks[24]",983
1,"Rpeaks[25]",1019
1,"Rpeaks[26]",1057
1,"Rpeaks[27]",1093
1,"Rpeaks[28]",1129
1,"Rpeaks[29]",1166
1,"Rpeaks[30]",1204
1,"Rpeaks[31]",1238
1,"Rpeaks[32]",1275
1,"Rpeaks[33]",1313
1,"Rpeaks[34]",1348
1,"Rpeaks[35]",1382
1,"Rpeaks[36]",1420
1,"Rpeaks[37]",1456
1,"Rpeaks[38]",1493
1,"Rpeaks[39]",1530
1,"Rpeaks[40]",1566
1,"Rpeaks[41]",1603
1,"Rpeaks[42]",1639
1,"Rpeaks[43]",1676
1,"Rpeaks[44]",1712
1,"Rpeaks[45]",1750
1,"Rpeaks[46]",1786
1,"Rpeaks[47]",1823
1,"Rpeaks[48]",1859
1,"Rpeaks[49]",1896
1,"Rpeaks[50]",1932
1,"Rpeaks[51]",1968
1,"Rpeaks[52]",2005
1,"Rpeaks[53]",2042
1,"Rpeaks[54]",2078
1,"Rpeaks[55]",2116
1,"Rpeaks[56]",2152
1,"Rpeaks[57]",2189
1,"Rpeaks[58]",2225
1,"Rpeaks[59]",2262
1,"Rpeaks[60]",2299
1,"Rpeaks[61]",2335
1,"Rpeaks[62]",2372
1,"Rpeaks[63]",2410
1,"Rpeaks[64]",2444
1,"Rpeaks[65]",2481
1,"Rpeaks[66]",2517
1,"Rpeaks[67]",2554
1,"Rpeaks[68]",2589
1,"Rpeaks[69]",2626
1,"Rpeaks[70]",2663
1,"Rpeaks[71]",2699
1,"Rpeaks[72]",2735
1,"Rpeaks[73]",2772
1,"Rpeaks[74]",2808
1,"Rpeaks[75]",2845
1,"Rpeaks[76]",2881
1,"Rpeaks[77]",2918
1,"Rpeaks[78]",2954
