"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"Rpeaks[0]",107,"left"
1,"Rpeaks[1]",144,"right"
1,"Rpeaks[2]",180,"left"
1,"Rpeaks[3]",218,"right"
1,"Rpeaks[4]",252,"left"
1,"Rpeaks[5]",289,"right"
1,"Rpeaks[6]",325,"left"
1,"Rpeaks[7]",362,"right"
1,"Rpeaks[8]",398,"left"
1,"Rpeaks[9]",435,"right"
1,"Rpeaks[10]",472,"left"
1,"Rpeaks[11]",510,"right"
1,"Rpeaks[12]",545,"left"
1,"Rpeaks[13]",582,"right"
1,"Rpeaks[14]",618,"left"
1,"Rpeaks[15]",656,"right"
1,"Rpeaks[16]",691,"left"
1,"Rpeaks[17]",728,"right"
1,"Rpeaks[18]",764,"left"
1,"Rpeaks[19]",801,"right"
1,"Rpeaks[20]",837,"left"
1,"Rpeaks[21]",873,"right"
1,"Rpeaks[22]",909,"left"
1,"Rpeaks[23]",947,"right"
1,"Rpeaks[24]",983,"left"
1,"Rpeaks[25]",1019,"right"
1,"Rpeaks[26]",1057,"left"
1,"Rpeaks[27]",1093,"right"
1,"Rpeaks[28]",1129,"left"
1,"Rpeaks[29]",1166,"right"
1,"Rpeaks[30]",1204,"left"
1,"Rpeaks[31]",1238,"right"
1,"Rpeaks[32]",1275,"left"
1,"Rpeaks[33]",1313,"right"
1,"Rpeaks[34]",1348,"left"
1,"Rpeaks[35]",1382,"right"
1,"Rpeaks[36]",1420,"left"
1,"Rpeaks[37]",1456,"right"
1,"Rpeaks[38]",1493,"left"
1,"Rpeaks[39]",1530,"right"
1,"Rpeaks[40]",1566,"left"
1,"Rpeaks[41]",1603,"right"
1,"Rpeaks[42]",1639,"left"
1,"Rpeaks[43]",1676,"right"
1,"Rpeaks[44]",1712,"left"
1,"Rpeaks[45]",1750,"right"
1,"Rpeaks[46]",1786,"left"
1,"Rpeaks[47]",1823,"right"
1,"Rpeaks[48]",1859,"left"
1,"Rpeaks[49]",1896,"right"
1,"Rpeaks[50]",1932,"left"
1,"Rpeaks[51]",1968,"right"
1,"Rpeaks[52]",2005,"left"
1,"Rpeaks[53]",2042,"right"
1,"Rpeaks[54]",2078,"left"
1,"Rpeaks[55]",2116,"right"
1,"Rpeaks[56]",2152,"left"
1,"Rpeaks[57]",2189,"right"
1,"Rpeaks[58]",2225,"left"
1,"Rpeaks[59]",2262,"right"
1,"Rpeaks[60]",2299,"left"
1,"Rpeaks[61]",2335,"right"
1,"Rpeaks[62]",2372,"left"
1,"Rpeaks[63]",2410,"right"
1,"Rpeaks[64]",2444,"left"
1,"Rpeaks[65]",2481,"right"
1,"Rpeaks[66]",2517,"left"
1,"Rpeaks[67]",2554,"right"
1,"Rpeaks[68]",2589,"left"
1,"Rpeaks[69]",2626,"right"
1,"Rpeaks[70]",2663,"left"
1,"Rpeaks[71]",2699,"right"
1,"Rpeaks[72]",2735,"left"
1,"Rpeaks[73]",2772,"right"
1,"Rpeaks[74]",2808,"left"
1,"Rpeaks[75]",2845,"right"
1,"Rpeaks[76]",2881,"left"
1,"Rpeaks[77]",2918,"right"
1,"Rpeaks[78]",2954,"left"
