"Interval_no","Peaks_Index","Peaks_value"
1,"Rpeaks[0]",99
1,"Rpeaks[1]",137
1,"Rpeaks[2]",173
1,"Rpeaks[3]",211
1,"Rpeaks[4]",247
1,"Rpeaks[5]",285
1,"Rpeaks[6]",321
1,"Rpeaks[7]",359
1,"Rpeaks[8]",396
1,"Rpeaks[9]",435
1,"Rpeaks[10]",470
1,"Rpeaks[11]",511
1,"Rpeaks[12]",545
1,"Rpeaks[13]",582
1,"Rpeaks[14]",619
1,"Rpeaks[15]",657
1,"Rpeaks[16]",693
1,"Rpeaks[17]",729
1,"Rpeaks[18]",766
1,"Rpeaks[19]",805
1,"Rpeaks[20]",842
1,"Rpeaks[21]",879
1,"Rpeaks[22]",916
1,"Rpeaks[23]",953
1,"Rpeaks[24]",989
1,"Rpeaks[25]",1027
1,"Rpeaks[26]",1064
1,"Rpeaks[27]",1102
1,"Rpeaks[28]",1138
1,"Rpeaks[29]",1176
1,"Rpeaks[30]",1213
1,"Rpeaks[31]",1249
1,"Rpeaks[32]",1286
1,"Rpeaks[33]",1324
1,"Rpeaks[34]",1360
1,"Rpeaks[35]",1398
1,"Rpeaks[36]",1435
1,"Rpeaks[37]",1472
1,"Rpeaks[38]",1507
1,"Rpeaks[39]",1546
1,"Rpeaks[40]",1582
1,"Rpeaks[41]",1620
1,"Rpeaks[42]",1661
1,"Rpeaks[43]",1695
1,"Rpeaks[44]",1733
1,"Rpeaks[45]",1769
1,"Rpeaks[46]",1805
1,"Rpeaks[47]",1842
1,"Rpeaks[48]",1879
1,"Rpeaks[49]",1917
1,"Rpeaks[50]",1953
1,"Rpeaks[51]",1991
1,"Rpeaks[52]",2027
1,"Rpeaks[53]",2065
1,"Rpeaks[54]",2102
1,"Rpeaks[55]",2140
1,"Rpeaks[56]",2176
1,"Rpeaks[57]",2213
1,"Rpeaks[58]",2250
1,"Rpeaks[59]",2287
1,"Rpeaks[60]",2324
1,"Rpeaks[61]",2362
1,"Rpeaks[62]",2398
1,"Rpeaks[63]",2436
1,"Rpeaks[64]",2473
1,"Rpeaks[65]",2510
1,"Rpeaks[66]",2547
1,"Rpeaks[67]",2584
1,"Rpeaks[68]",2621
1,"Rpeaks[69]",2658
1,"Rpeaks[70]",2696
1,"Rpeaks[71]",2733
1,"Rpeaks[72]",2770
1,"Rpeaks[73]",2806
1,"Rpeaks[74]",2843
1,"Rpeaks[75]",2881
1,"Rpeaks[76]",2918
1,"Rpeaks[77]",2956
