"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"Rpeaks[0]",99,"left"
1,"Rpeaks[1]",137,"right"
1,"Rpeaks[2]",173,"left"
1,"Rpeaks[3]",211,"right"
1,"Rpeaks[4]",247,"left"
1,"Rpeaks[5]",285,"right"
1,"Rpeaks[6]",321,"left"
1,"Rpeaks[7]",359,"right"
1,"Rpeaks[8]",396,"left"
1,"Rpeaks[9]",435,"right"
1,"Rpeaks[10]",470,"left"
1,"Rpeaks[11]",511,"right"
1,"Rpeaks[12]",545,"left"
1,"Rpeaks[13]",582,"right"
1,"Rpeaks[14]",619,"left"
1,"Rpeaks[15]",657,"right"
1,"Rpeaks[16]",693,"left"
1,"Rpeaks[17]",729,"right"
1,"Rpeaks[18]",766,"left"
1,"Rpeaks[19]",805,"right"
1,"Rpeaks[20]",842,"left"
1,"Rpeaks[21]",879,"right"
1,"Rpeaks[22]",916,"left"
1,"Rpeaks[23]",953,"right"
1,"Rpeaks[24]",989,"left"
1,"Rpeaks[25]",1027,"right"
1,"Rpeaks[26]",1064,"left"
1,"Rpeaks[27]",1102,"right"
1,"Rpeaks[28]",1138,"left"
1,"Rpeaks[29]",1176,"right"
1,"Rpeaks[30]",1213,"left"
1,"Rpeaks[31]",1249,"right"
1,"Rpeaks[32]",1286,"left"
1,"Rpeaks[33]",1324,"right"
1,"Rpeaks[34]",1360,"left"
1,"Rpeaks[35]",1398,"right"
1,"Rpeaks[36]",1435,"left"
1,"Rpeaks[37]",1472,"right"
1,"Rpeaks[38]",1507,"left"
1,"Rpeaks[39]",1546,"right"
1,"Rpeaks[40]",1582,"left"
1,"Rpeaks[41]",1620,"right"
1,"Rpeaks[42]",1661,"left"
1,"Rpeaks[43]",1695,"right"
1,"Rpeaks[44]",1733,"left"
1,"Rpeaks[45]",1769,"right"
1,"Rpeaks[46]",1805,"left"
1,"Rpeaks[47]",1842,"right"
1,"Rpeaks[48]",1879,"left"
1,"Rpeaks[49]",1917,"right"
1,"Rpeaks[50]",1953,"left"
1,"Rpeaks[51]",1991,"right"
1,"Rpeaks[52]",2027,"left"
1,"Rpeaks[53]",2065,"right"
1,"Rpeaks[54]",2102,"left"
1,"Rpeaks[55]",2140,"right"
1,"Rpeaks[56]",2176,"left"
1,"Rpeaks[57]",2213,"right"
1,"Rpeaks[58]",2250,"left"
1,"Rpeaks[59]",2287,"right"
1,"Rpeaks[60]",2324,"left"
1,"Rpeaks[61]",2362,"right"
1,"Rpeaks[62]",2398,"left"
1,"Rpeaks[63]",2436,"right"
1,"Rpeaks[64]",2473,"left"
1,"Rpeaks[65]",2510,"right"
1,"Rpeaks[66]",2547,"left"
1,"Rpeaks[67]",2584,"right"
1,"Rpeaks[68]",2621,"left"
1,"Rpeaks[69]",2658,"right"
1,"Rpeaks[70]",2696,"left"
1,"Rpeaks[71]",2733,"right"
1,"Rpeaks[72]",2770,"left"
1,"Rpeaks[73]",2806,"right"
1,"Rpeaks[74]",2843,"left"
1,"Rpeaks[75]",2881,"right"
1,"Rpeaks[76]",2918,"left"
1,"Rpeaks[77]",2956,"right"
