"Interval_no","Peaks_Index","Peaks_value"
1,"Rpeaks[0]",99
1,"Rpeaks[1]",137
1,"Rpeaks[2]",175
1,"Rpeaks[3]",212
1,"Rpeaks[4]",250
1,"Rpeaks[5]",288
1,"Rpeaks[6]",325
1,"Rpeaks[7]",362
1,"Rpeaks[8]",400
1,"Rpeaks[9]",438
1,"Rpeaks[10]",475
1,"Rpeaks[11]",513
1,"Rpeaks[12]",550
1,"Rpeaks[13]",588
1,"Rpeaks[14]",625
1,"Rpeaks[15]",662
1,"Rpeaks[16]",700
1,"Rpeaks[17]",738
1,"Rpeaks[18]",775
1,"Rpeaks[19]",813
1,"Rpeaks[20]",850
1,"Rpeaks[21]",888
1,"Rpeaks[22]",926
1,"Rpeaks[23]",964
1,"Rpeaks[24]",1003
1,"Rpeaks[25]",1039
1,"Rpeaks[26]",1078
1,"Rpeaks[27]",1115
1,"Rpeaks[28]",1153
1,"Rpeaks[29]",1190
1,"Rpeaks[30]",1227
1,"Rpeaks[31]",1266
1,"Rpeaks[32]",1303
1,"Rpeaks[33]",1341
1,"Rpeaks[34]",1378
1,"Rpeaks[35]",1417
1,"Rpeaks[36]",1455
1,"Rpeaks[37]",1493
1,"Rpeaks[38]",1531
1,"Rpeaks[39]",1569
1,"Rpeaks[40]",1607
1,"Rpeaks[41]",1644
1,"Rpeaks[42]",1682
1,"Rpeaks[43]",1720
1,"Rpeaks[44]",1758
1,"Rpeaks[45]",1796
1,"Rpeaks[46]",1834
1,"Rpeaks[47]",1872
1,"Rpeaks[48]",1908
1,"Rpeaks[49]",1947
1,"Rpeaks[50]",1984
1,"Rpeaks[51]",2022
1,"Rpeaks[52]",2059
1,"Rpeaks[53]",2098
1,"Rpeaks[54]",2136
1,"Rpeaks[55]",2173
1,"Rpeaks[56]",2211
1,"Rpeaks[57]",2248
1,"Rpeaks[58]",2286
1,"Rpeaks[59]",2324
1,"Rpeaks[60]",2362
1,"Rpeaks[61]",2401
1,"Rpeaks[62]",2438
1,"Rpeaks[63]",2476
1,"Rpeaks[64]",2514
1,"Rpeaks[65]",2552
1,"Rpeaks[66]",2589
1,"Rpeaks[67]",2626
1,"Rpeaks[68]",2665
1,"Rpeaks[69]",2703
1,"Rpeaks[70]",2740
1,"Rpeaks[71]",2778
1,"Rpeaks[72]",2816
1,"Rpeaks[73]",2854
1,"Rpeaks[74]",2891
1,"Rpeaks[75]",2930
