"x","y","z","interval_no","pause/unpause","data_sample_no","packet_no","App_Interval_no","RunType"
6.336426,2.463379,1.9257812,1,0,1,1,1,4
6.605957,3.7441406,2.571289,1,0,2,1,1,4
5.569336,3.130371,2.0966797,1,0,3,1,1,4
4.7822266,1.8178711,2.3828125,1,0,4,1,1,4
4.448242,0.56591797,2.2148438,1,0,5,1,1,4
3.932129,0.6015625,2.0546875,1,0,6,1,1,4
4.392578,0.6088867,2.015625,1,0,7,1,1,4
4.84375,0.86328125,1.9814453,1,0,8,1,1,4
5.0742188,0.9433594,1.7924805,1,0,9,1,1,4
4.8320312,0.8100586,1.7636719,1,0,10,1,1,4
4.6435547,0.6489258,1.6474609,1,0,11,1,1,4
4.17334,0.49365234,1.5947266,1,0,12,1,1,4
3.7050781,0.41552734,1.5175781,1,0,13,1,1,4
3.0239258,0.41357422,1.53125,1,0,14,1,1,4
2.277832,0.46435547,1.4848633,1,0,15,1,1,4
1.6455078,0.3852539,1.4873047,1,0,16,1,1,4
1.1831055,0.24414062,1.4736328,1,0,17,1,1,4
0.7885742,-0.044433594,1.4008789,1,0,18,1,1,4
0.42773438,-0.3256836,1.3330078,1,0,19,2,1,4
0.0073242188,-0.68310547,1.6318359,1,0,20,2,1,4
-0.6723633,-1.0449219,1.8930664,1,0,21,2,1,4
-1.2504883,-1.1108398,1.8149414,1,0,22,2,1,4
-1.7084961,-0.8364258,1.6821289,1,0,23,2,1,4
-1.8852539,-0.4086914,1.5087891,1,0,24,2,1,4
-1.7099609,-0.25195312,1.5175781,1,0,25,2,1,4
-1.3989258,0.018554688,1.7167969,1,0,26,2,1,4
-1.0410156,0.74072266,1.6166992,1,0,27,2,1,4
-0.7832031,1.0039062,1.4013672,1,0,28,2,1,4
-0.3544922,1.0107422,1.2514648,1,0,29,2,1,4
-0.16992188,1.0395508,1.3095703,1,0,30,2,1,4
0.028320312,1.25,1.1420898,1,0,31,2,1,4
0.00390625,0.69384766,2.1547852,1,0,32,2,1,4
0.0043945312,0.41357422,3.3442383,1,0,33,2,1,4
0.51416016,0.47802734,4.157715,1,0,34,2,1,4
1.7397461,0.6948242,2.8535156,1,0,35,2,1,4
3.665039,0.59277344,1.9208984,1,0,36,2,1,4
5.869629,0.13623047,1.9013672,1,0,37,3,1,4
6.9384766,-1.7026367,2.1044922,1,0,38,3,1,4
5.9057617,-3.9614258,2.489746,1,0,39,3,1,4
3.4609375,-3.885254,2.444336,1,0,40,3,1,4
4.0478516,-2.8686523,2.4013672,1,0,41,3,1,4
3.862793,-1.46875,2.5737305,1,0,42,3,1,4
4.26709,-0.6508789,2.3554688,1,0,43,3,1,4
3.8095703,-0.030273438,2.020996,1,0,44,3,1,4
4.085449,0.04638672,1.7519531,1,0,45,3,1,4
4.8461914,-0.16992188,1.8125,1,0,46,3,1,4
4.3754883,-0.39208984,1.5546875,1,0,47,3,1,4
4.25,-0.49121094,1.5756836,1,0,48,3,1,4
3.996582,-0.50341797,1.6381836,1,0,49,3,1,4
3.5810547,-0.52490234,1.6699219,1,0,50,3,1,4
3.1625977,-0.55908203,1.6323242,1,0,51,3,1,4
2.4731445,-0.67822266,1.6098633,1,0,52,3,1,4
1.8037109,-0.6171875,1.4760742,1,0,53,3,1,4
1.1264648,-0.48339844,1.3105469,1,0,54,3,1,4
0.59033203,-0.3408203,1.1860352,1,0,55,4,1,4
0.19042969,-0.09814453,1.3833008,1,0,56,4,1,4
0.061035156,-0.008300781,1.7675781,1,0,57,4,1,4
-0.047851562,0.4375,2.1357422,1,0,58,4,1,4
-0.53759766,0.9472656,2.2177734,1,0,59,4,1,4
-0.8300781,1.0688477,2.309082,1,0,60,4,1,4
-1.2407227,0.93310547,1.8481445,1,0,61,4,1,4
-1.5913086,0.47460938,1.3818359,1,0,62,4,1,4
-1.934082,0.04638672,1.0551758,1,0,63,4,1,4
-1.8154297,-0.49560547,1.1337891,1,0,64,4,1,4
-1.3173828,-0.77685547,1.1386719,1,0,65,4,1,4
-0.6743164,-1.0678711,1.0234375,1,0,66,4,1,4
-0.1459961,-1.0454102,0.8730469,1,0,67,4,1,4
0.33789062,-0.8964844,1.0859375,1,0,68,4,1,4
0.52734375,-0.6904297,1.5302734,1,0,69,4,1,4
0.30371094,-0.43603516,1.8603516,1,0,70,4,1,4
-0.016601562,-0.052246094,2.5317383,1,0,71,4,1,4
0.49121094,0.087402344,3.2441406,1,0,72,4,1,4
1.605957,0.15771484,3.7919922,1,0,73,5,1,4
2.137207,-0.26953125,3.072754,1,0,74,5,1,4
3.149414,-1.0112305,1.6171875,1,0,75,5,1,4
4.9902344,1.5600586,1.8007812,1,0,76,5,1,4
6.178711,2.8041992,2.2202148,1,0,77,5,1,4
5.9902344,3.0288086,2.088379,1,0,78,5,1,4
7.166992,2.4106445,2.2890625,1,0,79,5,1,4
5.3867188,1.4941406,2.0097656,1,0,80,5,1,4
3.8276367,1.2041016,1.7988281,1,0,81,5,1,4
4.330078,1.277832,1.8535156,1,0,82,5,1,4
4.7836914,1.2182617,1.8076172,1,0,83,5,1,4
5.0200195,1.0830078,1.5786133,1,0,84,5,1,4
4.7246094,0.74902344,1.5048828,1,0,85,5,1,4
4.586914,0.51416016,1.4624023,1,0,86,5,1,4
4.3203125,0.45898438,1.4853516,1,0,87,5,1,4
3.7373047,0.29052734,1.4824219,1,0,88,5,1,4
3.1679688,0.12646484,1.4907227,1,0,89,5,1,4
