"Interval_no","Peaks_Index","Peaks_value"
1,"Rpeaks[0]",77
1,"Rpeaks[1]",119
1,"Rpeaks[2]",156
1,"Rpeaks[3]",197
1,"Rpeaks[4]",234
1,"Rpeaks[5]",273
1,"Rpeaks[6]",312
1,"Rpeaks[7]",352
1,"Rpeaks[8]",390
1,"Rpeaks[9]",429
1,"Rpeaks[10]",466
1,"Rpeaks[11]",505
1,"Rpeaks[12]",544
1,"Rpeaks[13]",584
1,"Rpeaks[14]",624
1,"Rpeaks[15]",665
1,"Rpeaks[16]",703
1,"Rpeaks[17]",743
1,"Rpeaks[18]",781
1,"Rpeaks[19]",821
1,"Rpeaks[20]",860
1,"Rpeaks[21]",900
1,"Rpeaks[22]",938
1,"Rpeaks[23]",977
1,"Rpeaks[24]",1016
1,"Rpeaks[25]",1055
1,"Rpeaks[26]",1094
1,"Rpeaks[27]",1134
1,"Rpeaks[28]",1171
1,"Rpeaks[29]",1210
1,"Rpeaks[30]",1248
1,"Rpeaks[31]",1288
1,"Rpeaks[32]",1327
1,"Rpeaks[33]",1365
1,"Rpeaks[34]",1403
1,"Rpeaks[35]",1444
1,"Rpeaks[36]",1481
1,"Rpeaks[37]",1520
1,"Rpeaks[38]",1559
1,"Rpeaks[39]",1599
1,"Rpeaks[40]",1637
1,"Rpeaks[41]",1676
1,"Rpeaks[42]",1715
1,"Rpeaks[43]",1755
1,"Rpeaks[44]",1793
1,"Rpeaks[45]",1835
1,"Rpeaks[46]",1873
1,"Rpeaks[47]",1913
1,"Rpeaks[48]",1953
1,"Rpeaks[49]",1994
1,"Rpeaks[50]",2032
1,"Rpeaks[51]",2072
1,"Rpeaks[52]",2110
1,"Rpeaks[53]",2152
1,"Rpeaks[54]",2191
1,"Rpeaks[55]",2232
1,"Rpeaks[56]",2270
1,"Rpeaks[57]",2310
1,"Rpeaks[58]",2349
1,"Rpeaks[59]",2388
1,"Rpeaks[60]",2426
1,"Rpeaks[61]",2468
1,"Rpeaks[62]",2507
1,"Rpeaks[63]",2546
1,"Rpeaks[64]",2583
1,"Rpeaks[65]",2623
1,"Rpeaks[66]",2661
1,"Rpeaks[67]",2701
1,"Rpeaks[68]",2741
1,"Rpeaks[69]",2780
1,"Rpeaks[70]",2818
1,"Rpeaks[71]",2859
1,"Rpeaks[72]",2898
1,"Rpeaks[73]",2936
