"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"Rpeaks[0]",77,"right"
1,"Rpeaks[1]",119,"left"
1,"Rpeaks[2]",156,"right"
1,"Rpeaks[3]",197,"left"
1,"Rpeaks[4]",234,"right"
1,"Rpeaks[5]",273,"left"
1,"Rpeaks[6]",312,"right"
1,"Rpeaks[7]",352,"left"
1,"Rpeaks[8]",390,"right"
1,"Rpeaks[9]",429,"left"
1,"Rpeaks[10]",466,"right"
1,"Rpeaks[11]",505,"left"
1,"Rpeaks[12]",544,"right"
1,"Rpeaks[13]",584,"left"
1,"Rpeaks[14]",624,"right"
1,"Rpeaks[15]",665,"left"
1,"Rpeaks[16]",703,"right"
1,"Rpeaks[17]",743,"left"
1,"Rpeaks[18]",781,"right"
1,"Rpeaks[19]",821,"left"
1,"Rpeaks[20]",860,"right"
1,"Rpeaks[21]",900,"left"
1,"Rpeaks[22]",938,"right"
1,"Rpeaks[23]",977,"left"
1,"Rpeaks[24]",1016,"right"
1,"Rpeaks[25]",1055,"left"
1,"Rpeaks[26]",1094,"right"
1,"Rpeaks[27]",1134,"left"
1,"Rpeaks[28]",1171,"right"
1,"Rpeaks[29]",1210,"left"
1,"Rpeaks[30]",1248,"right"
1,"Rpeaks[31]",1288,"left"
1,"Rpeaks[32]",1327,"right"
1,"Rpeaks[33]",1365,"left"
1,"Rpeaks[34]",1403,"right"
1,"Rpeaks[35]",1444,"left"
1,"Rpeaks[36]",1481,"right"
1,"Rpeaks[37]",1520,"left"
1,"Rpeaks[38]",1559,"right"
1,"Rpeaks[39]",1599,"left"
1,"Rpeaks[40]",1637,"right"
1,"Rpeaks[41]",1676,"left"
1,"Rpeaks[42]",1715,"right"
1,"Rpeaks[43]",1755,"left"
1,"Rpeaks[44]",1793,"right"
1,"Rpeaks[45]",1835,"left"
1,"Rpeaks[46]",1873,"right"
1,"Rpeaks[47]",1913,"left"
1,"Rpeaks[48]",1953,"right"
1,"Rpeaks[49]",1994,"left"
1,"Rpeaks[50]",2032,"right"
1,"Rpeaks[51]",2072,"left"
1,"Rpeaks[52]",2110,"right"
1,"Rpeaks[53]",2152,"left"
1,"Rpeaks[54]",2191,"right"
1,"Rpeaks[55]",2232,"left"
1,"Rpeaks[56]",2270,"right"
1,"Rpeaks[57]",2310,"left"
1,"Rpeaks[58]",2349,"right"
1,"Rpeaks[59]",2388,"left"
1,"Rpeaks[60]",2426,"right"
1,"Rpeaks[61]",2468,"left"
1,"Rpeaks[62]",2507,"right"
1,"Rpeaks[63]",2546,"left"
1,"Rpeaks[64]",2583,"right"
1,"Rpeaks[65]",2623,"left"
1,"Rpeaks[66]",2661,"right"
1,"Rpeaks[67]",2701,"left"
1,"Rpeaks[68]",2741,"right"
1,"Rpeaks[69]",2780,"left"
1,"Rpeaks[70]",2818,"right"
1,"Rpeaks[71]",2859,"left"
1,"Rpeaks[72]",2898,"right"
1,"Rpeaks[73]",2936,"left"
