"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"Rpeaks[0]",97,"right"
1,"Rpeaks[1]",142,"left"
1,"Rpeaks[2]",184,"right"
1,"Rpeaks[3]",227,"left"
1,"Rpeaks[4]",270,"right"
1,"Rpeaks[5]",312,"left"
1,"Rpeaks[6]",353,"right"
1,"Rpeaks[7]",395,"left"
1,"Rpeaks[8]",438,"right"
1,"Rpeaks[9]",483,"left"
1,"Rpeaks[10]",523,"right"
1,"Rpeaks[11]",567,"left"
1,"Rpeaks[12]",610,"right"
1,"Rpeaks[13]",652,"left"
1,"Rpeaks[14]",691,"right"
1,"Rpeaks[15]",736,"left"
1,"Rpeaks[16]",778,"right"
1,"Rpeaks[17]",821,"left"
1,"Rpeaks[18]",863,"right"
1,"Rpeaks[19]",904,"left"
1,"Rpeaks[20]",949,"right"
1,"Rpeaks[21]",989,"left"
1,"Rpeaks[22]",1031,"right"
1,"Rpeaks[23]",1073,"left"
1,"Rpeaks[24]",1115,"right"
1,"Rpeaks[25]",1154,"left"
1,"Rpeaks[26]",1198,"right"
1,"Rpeaks[27]",1241,"left"
1,"Rpeaks[28]",1282,"right"
1,"Rpeaks[29]",1324,"left"
1,"Rpeaks[30]",1335,"right"
1,"Rpeaks[31]",1368,"left"
1,"Rpeaks[32]",1409,"right"
1,"Rpeaks[33]",1455,"left"
1,"Rpeaks[34]",1498,"right"
1,"Rpeaks[35]",1539,"left"
1,"Rpeaks[36]",1580,"right"
1,"Rpeaks[37]",1625,"left"
1,"Rpeaks[38]",1667,"right"
1,"Rpeaks[39]",1708,"left"
1,"Rpeaks[40]",1750,"right"
1,"Rpeaks[41]",1793,"left"
1,"Rpeaks[42]",1834,"right"
1,"Rpeaks[43]",1877,"left"
1,"Rpeaks[44]",1920,"right"
1,"Rpeaks[45]",1963,"left"
1,"Rpeaks[46]",2005,"right"
1,"Rpeaks[47]",2048,"left"
1,"Rpeaks[48]",2090,"right"
1,"Rpeaks[49]",2132,"left"
1,"Rpeaks[50]",2173,"right"
1,"Rpeaks[51]",2217,"left"
1,"Rpeaks[52]",2261,"right"
1,"Rpeaks[53]",2302,"left"
1,"Rpeaks[54]",2344,"right"
1,"Rpeaks[55]",2388,"left"
1,"Rpeaks[56]",2431,"right"
1,"Rpeaks[57]",2473,"left"
1,"Rpeaks[58]",2515,"right"
1,"Rpeaks[59]",2558,"left"
1,"Rpeaks[60]",2601,"right"
1,"Rpeaks[61]",2643,"left"
1,"Rpeaks[62]",2686,"right"
1,"Rpeaks[63]",2729,"left"
1,"Rpeaks[64]",2771,"right"
1,"Rpeaks[65]",2813,"left"
1,"Rpeaks[66]",2854,"right"
1,"Rpeaks[67]",2897,"left"
1,"Rpeaks[68]",2939,"right"
