"Interval_no","Peaks_Index","Peaks_value"
1,"Rpeaks[0]",110
1,"Rpeaks[1]",152
1,"Rpeaks[2]",196
1,"Rpeaks[3]",236
1,"Rpeaks[4]",281
1,"Rpeaks[5]",321
1,"Rpeaks[6]",364
1,"Rpeaks[7]",409
1,"Rpeaks[8]",450
1,"Rpeaks[9]",492
1,"Rpeaks[10]",538
1,"Rpeaks[11]",577
1,"Rpeaks[12]",622
1,"Rpeaks[13]",664
1,"Rpeaks[14]",706
1,"Rpeaks[15]",750
1,"Rpeaks[16]",792
1,"Rpeaks[17]",835
1,"Rpeaks[18]",881
1,"Rpeaks[19]",921
1,"Rpeaks[20]",967
1,"Rpeaks[21]",1008
1,"Rpeaks[22]",1050
1,"Rpeaks[23]",1092
1,"Rpeaks[24]",1136
1,"Rpeaks[25]",1177
1,"Rpeaks[26]",1220
1,"Rpeaks[27]",1231
1,"Rpeaks[28]",1264
1,"Rpeaks[29]",1309
1,"Rpeaks[30]",1348
1,"Rpeaks[31]",1393
1,"Rpeaks[32]",1433
1,"Rpeaks[33]",1479
1,"Rpeaks[34]",1520
1,"Rpeaks[35]",1565
1,"Rpeaks[36]",1607
1,"Rpeaks[37]",1651
1,"Rpeaks[38]",1694
1,"Rpeaks[39]",1739
1,"Rpeaks[40]",1781
1,"Rpeaks[41]",1823
1,"Rpeaks[42]",1866
1,"Rpeaks[43]",1910
1,"Rpeaks[44]",1953
1,"Rpeaks[45]",1996
1,"Rpeaks[46]",2038
1,"Rpeaks[47]",2082
1,"Rpeaks[48]",2124
1,"Rpeaks[49]",2167
1,"Rpeaks[50]",2210
1,"Rpeaks[51]",2252
1,"Rpeaks[52]",2294
1,"Rpeaks[53]",2338
1,"Rpeaks[54]",2382
1,"Rpeaks[55]",2426
1,"Rpeaks[56]",2469
1,"Rpeaks[57]",2512
1,"Rpeaks[58]",2554
1,"Rpeaks[59]",2598
1,"Rpeaks[60]",2641
1,"Rpeaks[61]",2683
1,"Rpeaks[62]",2726
1,"Rpeaks[63]",2770
1,"Rpeaks[64]",2813
1,"Rpeaks[65]",2857
1,"Rpeaks[66]",2899
1,"Rpeaks[67]",2944
