"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"Rpeaks[0]",110,"leftt"
1,"Rpeaks[1]",152,"left"
1,"Rpeaks[2]",196,"leftt"
1,"Rpeaks[3]",236,"left"
1,"Rpeaks[4]",281,"leftt"
1,"Rpeaks[5]",321,"left"
1,"Rpeaks[6]",364,"leftt"
1,"Rpeaks[7]",409,"left"
1,"Rpeaks[8]",450,"leftt"
1,"Rpeaks[9]",492,"left"
1,"Rpeaks[10]",538,"leftt"
1,"Rpeaks[11]",577,"left"
1,"Rpeaks[12]",622,"leftt"
1,"Rpeaks[13]",664,"left"
1,"Rpeaks[14]",706,"leftt"
1,"Rpeaks[15]",750,"left"
1,"Rpeaks[16]",792,"leftt"
1,"Rpeaks[17]",835,"left"
1,"Rpeaks[18]",881,"leftt"
1,"Rpeaks[19]",921,"left"
1,"Rpeaks[20]",967,"leftt"
1,"Rpeaks[21]",1008,"left"
1,"Rpeaks[22]",1050,"leftt"
1,"Rpeaks[23]",1092,"left"
1,"Rpeaks[24]",1136,"leftt"
1,"Rpeaks[25]",1177,"left"
1,"Rpeaks[26]",1220,"leftt"
1,"Rpeaks[27]",1231,"left"
1,"Rpeaks[28]",1264,"leftt"
1,"Rpeaks[29]",1309,"left"
1,"Rpeaks[30]",1348,"leftt"
1,"Rpeaks[31]",1393,"left"
1,"Rpeaks[32]",1433,"leftt"
1,"Rpeaks[33]",1479,"left"
1,"Rpeaks[34]",1520,"leftt"
1,"Rpeaks[35]",1565,"left"
1,"Rpeaks[36]",1607,"leftt"
1,"Rpeaks[37]",1651,"left"
1,"Rpeaks[38]",1694,"leftt"
1,"Rpeaks[39]",1739,"left"
1,"Rpeaks[40]",1781,"leftt"
1,"Rpeaks[41]",1823,"left"
1,"Rpeaks[42]",1866,"leftt"
1,"Rpeaks[43]",1910,"left"
1,"Rpeaks[44]",1953,"leftt"
1,"Rpeaks[45]",1996,"left"
1,"Rpeaks[46]",2038,"leftt"
1,"Rpeaks[47]",2082,"left"
1,"Rpeaks[48]",2124,"leftt"
1,"Rpeaks[49]",2167,"left"
1,"Rpeaks[50]",2210,"leftt"
1,"Rpeaks[51]",2252,"left"
1,"Rpeaks[52]",2294,"leftt"
1,"Rpeaks[53]",2338,"left"
1,"Rpeaks[54]",2382,"leftt"
1,"Rpeaks[55]",2426,"left"
1,"Rpeaks[56]",2469,"leftt"
1,"Rpeaks[57]",2512,"left"
1,"Rpeaks[58]",2554,"leftt"
1,"Rpeaks[59]",2598,"left"
1,"Rpeaks[60]",2641,"leftt"
1,"Rpeaks[61]",2683,"left"
1,"Rpeaks[62]",2726,"leftt"
1,"Rpeaks[63]",2770,"left"
1,"Rpeaks[64]",2813,"leftt"
1,"Rpeaks[65]",2857,"left"
1,"Rpeaks[66]",2899,"leftt"
1,"Rpeaks[67]",2944,"left"
