"Interval_no","Peaks_Index","Peaks_value"
1,"Rpeaks[0]",113
1,"Rpeaks[1]",157
1,"Rpeaks[2]",199
1,"Rpeaks[3]",239
1,"Rpeaks[4]",280
1,"Rpeaks[5]",323
1,"Rpeaks[6]",364
1,"Rpeaks[7]",404
1,"Rpeaks[8]",448
1,"Rpeaks[9]",491
1,"Rpeaks[10]",528
1,"Rpeaks[11]",573
1,"Rpeaks[12]",611
1,"Rpeaks[13]",658
1,"Rpeaks[14]",694
1,"Rpeaks[15]",734
1,"Rpeaks[16]",780
1,"Rpeaks[17]",819
1,"Rpeaks[18]",857
1,"Rpeaks[19]",905
1,"Rpeaks[20]",940
1,"Rpeaks[21]",981
1,"Rpeaks[22]",1020
1,"Rpeaks[23]",1067
1,"Rpeaks[24]",1070
1,"Rpeaks[25]",1108
1,"Rpeaks[26]",1155
1,"Rpeaks[27]",1191
1,"Rpeaks[28]",1236
1,"Rpeaks[29]",1274
1,"Rpeaks[30]",1317
1,"Rpeaks[31]",1356
1,"Rpeaks[32]",1401
1,"Rpeaks[33]",1441
1,"Rpeaks[34]",1485
1,"Rpeaks[35]",1526
1,"Rpeaks[36]",1567
1,"Rpeaks[37]",1608
1,"Rpeaks[38]",1645
1,"Rpeaks[39]",1689
1,"Rpeaks[40]",1734
1,"Rpeaks[41]",1774
1,"Rpeaks[42]",1818
1,"Rpeaks[43]",1859
1,"Rpeaks[44]",1903
1,"Rpeaks[45]",1943
1,"Rpeaks[46]",1986
1,"Rpeaks[47]",2027
1,"Rpeaks[48]",2070
1,"Rpeaks[49]",2110
1,"Rpeaks[50]",2154
1,"Rpeaks[51]",2198
1,"Rpeaks[52]",2241
1,"Rpeaks[53]",2282
1,"Rpeaks[54]",2327
1,"Rpeaks[55]",2366
1,"Rpeaks[56]",2407
1,"Rpeaks[57]",2451
1,"Rpeaks[58]",2493
1,"Rpeaks[59]",2535
1,"Rpeaks[60]",2572
1,"Rpeaks[61]",2615
1,"Rpeaks[62]",2657
1,"Rpeaks[63]",2702
1,"Rpeaks[64]",2745
1,"Rpeaks[65]",2785
1,"Rpeaks[66]",2823
1,"Rpeaks[67]",2866
1,"Rpeaks[68]",2910
1,"Rpeaks[69]",2950
1,"Rpeaks[70]",2993
