"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"Rpeaks[0]",113,"right"
1,"Rpeaks[1]",157,"left"
1,"Rpeaks[2]",199,"right"
1,"Rpeaks[3]",239,"left"
1,"Rpeaks[4]",280,"right"
1,"Rpeaks[5]",323,"left"
1,"Rpeaks[6]",364,"right"
1,"Rpeaks[7]",404,"left"
1,"Rpeaks[8]",448,"right"
1,"Rpeaks[9]",491,"left"
1,"Rpeaks[10]",528,"right"
1,"Rpeaks[11]",573,"left"
1,"Rpeaks[12]",611,"right"
1,"Rpeaks[13]",658,"left"
1,"Rpeaks[14]",694,"right"
1,"Rpeaks[15]",734,"left"
1,"Rpeaks[16]",780,"right"
1,"Rpeaks[17]",819,"left"
1,"Rpeaks[18]",857,"right"
1,"Rpeaks[19]",905,"left"
1,"Rpeaks[20]",940,"right"
1,"Rpeaks[21]",981,"left"
1,"Rpeaks[22]",1020,"right"
1,"Rpeaks[23]",1067,"left"
1,"Rpeaks[24]",1070,"right"
1,"Rpeaks[25]",1108,"left"
1,"Rpeaks[26]",1155,"right"
1,"Rpeaks[27]",1191,"left"
1,"Rpeaks[28]",1236,"right"
1,"Rpeaks[29]",1274,"left"
1,"Rpeaks[30]",1317,"right"
1,"Rpeaks[31]",1356,"left"
1,"Rpeaks[32]",1401,"right"
1,"Rpeaks[33]",1441,"left"
1,"Rpeaks[34]",1485,"right"
1,"Rpeaks[35]",1526,"left"
1,"Rpeaks[36]",1567,"right"
1,"Rpeaks[37]",1608,"left"
1,"Rpeaks[38]",1645,"right"
1,"Rpeaks[39]",1689,"left"
1,"Rpeaks[40]",1734,"right"
1,"Rpeaks[41]",1774,"left"
1,"Rpeaks[42]",1818,"right"
1,"Rpeaks[43]",1859,"left"
1,"Rpeaks[44]",1903,"right"
1,"Rpeaks[45]",1943,"left"
1,"Rpeaks[46]",1986,"right"
1,"Rpeaks[47]",2027,"left"
1,"Rpeaks[48]",2070,"right"
1,"Rpeaks[49]",2110,"left"
1,"Rpeaks[50]",2154,"right"
1,"Rpeaks[51]",2198,"left"
1,"Rpeaks[52]",2241,"right"
1,"Rpeaks[53]",2282,"left"
1,"Rpeaks[54]",2327,"right"
1,"Rpeaks[55]",2366,"left"
1,"Rpeaks[56]",2407,"right"
1,"Rpeaks[57]",2451,"left"
1,"Rpeaks[58]",2493,"right"
1,"Rpeaks[59]",2535,"left"
1,"Rpeaks[60]",2572,"right"
1,"Rpeaks[61]",2615,"left"
1,"Rpeaks[62]",2657,"right"
1,"Rpeaks[63]",2702,"left"
1,"Rpeaks[64]",2745,"right"
1,"Rpeaks[65]",2785,"left"
1,"Rpeaks[66]",2823,"right"
1,"Rpeaks[67]",2866,"left"
1,"Rpeaks[68]",2910,"right"
1,"Rpeaks[69]",2950,"left"
1,"Rpeaks[70]",2993,"right"
