"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"Rpeaks[0]",104,"left"
1,"Rpeaks[1]",154,"right"
1,"Rpeaks[2]",202,"left"
1,"Rpeaks[3]",213,"right"
1,"Rpeaks[4]",249,"left"
1,"Rpeaks[5]",296,"right"
1,"Rpeaks[6]",308,"left"
1,"Rpeaks[7]",343,"right"
1,"Rpeaks[8]",390,"left"
1,"Rpeaks[9]",402,"right"
1,"Rpeaks[10]",438,"left"
1,"Rpeaks[11]",492,"right"
1,"Rpeaks[12]",527,"left"
1,"Rpeaks[13]",573,"right"
1,"Rpeaks[14]",620,"left"
1,"Rpeaks[15]",668,"right"
1,"Rpeaks[16]",713,"left"
1,"Rpeaks[17]",758,"right"
1,"Rpeaks[18]",770,"left"
1,"Rpeaks[19]",803,"right"
1,"Rpeaks[20]",849,"left"
1,"Rpeaks[21]",893,"right"
1,"Rpeaks[22]",939,"left"
1,"Rpeaks[23]",985,"right"
1,"Rpeaks[24]",998,"left"
1,"Rpeaks[25]",1047,"right"
1,"Rpeaks[26]",1080,"left"
1,"Rpeaks[27]",1125,"right"
1,"Rpeaks[28]",1171,"left"
1,"Rpeaks[29]",1218,"right"
1,"Rpeaks[30]",1231,"left"
1,"Rpeaks[31]",1264,"right"
1,"Rpeaks[32]",1310,"left"
1,"Rpeaks[33]",1356,"right"
1,"Rpeaks[34]",1404,"left"
1,"Rpeaks[35]",1444,"right"
1,"Rpeaks[36]",1494,"left"
1,"Rpeaks[37]",1539,"right"
1,"Rpeaks[38]",1582,"left"
1,"Rpeaks[39]",1593,"right"
1,"Rpeaks[40]",1626,"left"
1,"Rpeaks[41]",1672,"right"
1,"Rpeaks[42]",1716,"left"
1,"Rpeaks[43]",1775,"right"
1,"Rpeaks[44]",1812,"left"
1,"Rpeaks[45]",1859,"right"
1,"Rpeaks[46]",1901,"left"
1,"Rpeaks[47]",1946,"right"
1,"Rpeaks[48]",1993,"left"
1,"Rpeaks[49]",2040,"right"
1,"Rpeaks[50]",2054,"left"
1,"Rpeaks[51]",2087,"right"
1,"Rpeaks[52]",2133,"left"
1,"Rpeaks[53]",2145,"right"
1,"Rpeaks[54]",2178,"left"
1,"Rpeaks[55]",2222,"right"
1,"Rpeaks[56]",2265,"left"
1,"Rpeaks[57]",2314,"right"
1,"Rpeaks[58]",2352,"left"
1,"Rpeaks[59]",2397,"right"
1,"Rpeaks[60]",2439,"left"
1,"Rpeaks[61]",2483,"right"
1,"Rpeaks[62]",2526,"left"
1,"Rpeaks[63]",2573,"right"
1,"Rpeaks[64]",2612,"left"
1,"Rpeaks[65]",2659,"right"
1,"Rpeaks[66]",2671,"left"
1,"Rpeaks[67]",2706,"right"
1,"Rpeaks[68]",2753,"left"
1,"Rpeaks[69]",2799,"right"
1,"Rpeaks[70]",2844,"left"
1,"Rpeaks[71]",2892,"right"
1,"Rpeaks[72]",2936,"left"
