"Interval_no","Peaks_Index","Peaks_value"
1,"Rpeaks[0]",110
1,"Rpeaks[1]",155
1,"Rpeaks[2]",198
1,"Rpeaks[3]",242
1,"Rpeaks[4]",288
1,"Rpeaks[5]",300
1,"Rpeaks[6]",333
1,"Rpeaks[7]",381
1,"Rpeaks[8]",424
1,"Rpeaks[9]",471
1,"Rpeaks[10]",515
1,"Rpeaks[11]",565
1,"Rpeaks[12]",576
1,"Rpeaks[13]",608
1,"Rpeaks[14]",656
1,"Rpeaks[15]",698
1,"Rpeaks[16]",746
1,"Rpeaks[17]",789
1,"Rpeaks[18]",838
1,"Rpeaks[19]",880
1,"Rpeaks[20]",929
1,"Rpeaks[21]",943
1,"Rpeaks[22]",979
1,"Rpeaks[23]",1024
1,"Rpeaks[24]",1070
1,"Rpeaks[25]",1118
1,"Rpeaks[26]",1130
1,"Rpeaks[27]",1163
1,"Rpeaks[28]",1212
1,"Rpeaks[29]",1224
1,"Rpeaks[30]",1257
1,"Rpeaks[31]",1304
1,"Rpeaks[32]",1347
1,"Rpeaks[33]",1396
1,"Rpeaks[34]",1438
1,"Rpeaks[35]",1487
1,"Rpeaks[36]",1499
1,"Rpeaks[37]",1532
1,"Rpeaks[38]",1580
1,"Rpeaks[39]",1624
1,"Rpeaks[40]",1670
1,"Rpeaks[41]",1681
1,"Rpeaks[42]",1716
1,"Rpeaks[43]",1761
1,"Rpeaks[44]",1802
1,"Rpeaks[45]",1849
1,"Rpeaks[46]",1891
1,"Rpeaks[47]",1939
1,"Rpeaks[48]",1979
1,"Rpeaks[49]",2027
1,"Rpeaks[50]",2071
1,"Rpeaks[51]",2119
1,"Rpeaks[52]",2158
1,"Rpeaks[53]",2207
1,"Rpeaks[54]",2247
1,"Rpeaks[55]",2294
1,"Rpeaks[56]",2338
1,"Rpeaks[57]",2385
1,"Rpeaks[58]",2430
1,"Rpeaks[59]",2478
1,"Rpeaks[60]",2519
1,"Rpeaks[61]",2564
1,"Rpeaks[62]",2575
1,"Rpeaks[63]",2609
1,"Rpeaks[64]",2653
1,"Rpeaks[65]",2664
1,"Rpeaks[66]",2699
1,"Rpeaks[67]",2755
1,"Rpeaks[68]",2789
1,"Rpeaks[69]",2835
1,"Rpeaks[70]",2879
1,"Rpeaks[71]",2928
