"Interval_no","Peaks_Index","Peaks_value"
1,"Rpeaks[0]",58
1,"Rpeaks[1]",102
1,"Rpeaks[2]",118
1,"Rpeaks[3]",145
1,"Rpeaks[4]",158
1,"Rpeaks[5]",192
1,"Rpeaks[6]",205
1,"Rpeaks[7]",233
1,"Rpeaks[8]",246
1,"Rpeaks[9]",278
1,"Rpeaks[10]",293
1,"Rpeaks[11]",321
1,"Rpeaks[12]",366
1,"Rpeaks[13]",379
1,"Rpeaks[14]",409
1,"Rpeaks[15]",453
1,"Rpeaks[16]",468
1,"Rpeaks[17]",495
1,"Rpeaks[18]",539
1,"Rpeaks[19]",582
1,"Rpeaks[20]",626
1,"Rpeaks[21]",640
1,"Rpeaks[22]",667
1,"Rpeaks[23]",711
1,"Rpeaks[24]",726
1,"Rpeaks[25]",754
1,"Rpeaks[26]",798
1,"Rpeaks[27]",812
1,"Rpeaks[28]",841
1,"Rpeaks[29]",886
1,"Rpeaks[30]",902
1,"Rpeaks[31]",930
1,"Rpeaks[32]",942
1,"Rpeaks[33]",974
1,"Rpeaks[34]",988
1,"Rpeaks[35]",1017
1,"Rpeaks[36]",1061
1,"Rpeaks[37]",1078
1,"Rpeaks[38]",1108
1,"Rpeaks[39]",1120
1,"Rpeaks[40]",1151
1,"Rpeaks[41]",1166
1,"Rpeaks[42]",1193
1,"Rpeaks[43]",1236
1,"Rpeaks[44]",1250
1,"Rpeaks[45]",1277
1,"Rpeaks[46]",1320
1,"Rpeaks[47]",1333
1,"Rpeaks[48]",1364
1,"Rpeaks[49]",1410
1,"Rpeaks[50]",1449
1,"Rpeaks[51]",1462
1,"Rpeaks[52]",1493
1,"Rpeaks[53]",1507
1,"Rpeaks[54]",1537
1,"Rpeaks[55]",1580
1,"Rpeaks[56]",1594
1,"Rpeaks[57]",1623
1,"Rpeaks[58]",1665
1,"Rpeaks[59]",1679
1,"Rpeaks[60]",1708
1,"Rpeaks[61]",1754
1,"Rpeaks[62]",1769
1,"Rpeaks[63]",1798
1,"Rpeaks[64]",1842
1,"Rpeaks[65]",1883
1,"Rpeaks[66]",1896
1,"Rpeaks[67]",1929
1,"Rpeaks[68]",1972
1,"Rpeaks[69]",2015
1,"Rpeaks[70]",2029
1,"Rpeaks[71]",2058
1,"Rpeaks[72]",2101
1,"Rpeaks[73]",2153
1,"Rpeaks[74]",2190
1,"Rpeaks[75]",2231
1,"Rpeaks[76]",2274
1,"Rpeaks[77]",2315
1,"Rpeaks[78]",2358
1,"Rpeaks[79]",2399
1,"Rpeaks[80]",2442
1,"Rpeaks[81]",2486
1,"Rpeaks[82]",2530
1,"Rpeaks[83]",2544
1,"Rpeaks[84]",2575
1,"Rpeaks[85]",2617
1,"Rpeaks[86]",2661
1,"Rpeaks[87]",2701
1,"Rpeaks[88]",2744
1,"Rpeaks[89]",2792
1,"Rpeaks[90]",2829
1,"Rpeaks[91]",2872
1,"Rpeaks[92]",2914
