"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"Rpeaks[0]",58,"right"
1,"Rpeaks[1]",102,"left"
1,"Rpeaks[2]",118,"right"
1,"Rpeaks[3]",145,"left"
1,"Rpeaks[4]",158,"right"
1,"Rpeaks[5]",192,"left"
1,"Rpeaks[6]",205,"right"
1,"Rpeaks[7]",233,"left"
1,"Rpeaks[8]",246,"right"
1,"Rpeaks[9]",278,"left"
1,"Rpeaks[10]",293,"right"
1,"Rpeaks[11]",321,"left"
1,"Rpeaks[12]",366,"right"
1,"Rpeaks[13]",379,"left"
1,"Rpeaks[14]",409,"right"
1,"Rpeaks[15]",453,"left"
1,"Rpeaks[16]",468,"right"
1,"Rpeaks[17]",495,"left"
1,"Rpeaks[18]",539,"right"
1,"Rpeaks[19]",582,"left"
1,"Rpeaks[20]",626,"right"
1,"Rpeaks[21]",640,"left"
1,"Rpeaks[22]",667,"right"
1,"Rpeaks[23]",711,"left"
1,"Rpeaks[24]",726,"right"
1,"Rpeaks[25]",754,"left"
1,"Rpeaks[26]",798,"right"
1,"Rpeaks[27]",812,"left"
1,"Rpeaks[28]",841,"right"
1,"Rpeaks[29]",886,"left"
1,"Rpeaks[30]",902,"right"
1,"Rpeaks[31]",930,"left"
1,"Rpeaks[32]",942,"right"
1,"Rpeaks[33]",974,"left"
1,"Rpeaks[34]",988,"right"
1,"Rpeaks[35]",1017,"left"
1,"Rpeaks[36]",1061,"right"
1,"Rpeaks[37]",1078,"left"
1,"Rpeaks[38]",1108,"right"
1,"Rpeaks[39]",1120,"left"
1,"Rpeaks[40]",1151,"right"
1,"Rpeaks[41]",1166,"left"
1,"Rpeaks[42]",1193,"right"
1,"Rpeaks[43]",1236,"left"
1,"Rpeaks[44]",1250,"right"
1,"Rpeaks[45]",1277,"left"
1,"Rpeaks[46]",1320,"right"
1,"Rpeaks[47]",1333,"left"
1,"Rpeaks[48]",1364,"right"
1,"Rpeaks[49]",1410,"left"
1,"Rpeaks[50]",1449,"right"
1,"Rpeaks[51]",1462,"left"
1,"Rpeaks[52]",1493,"right"
1,"Rpeaks[53]",1507,"left"
1,"Rpeaks[54]",1537,"right"
1,"Rpeaks[55]",1580,"left"
1,"Rpeaks[56]",1594,"right"
1,"Rpeaks[57]",1623,"left"
1,"Rpeaks[58]",1665,"right"
1,"Rpeaks[59]",1679,"left"
1,"Rpeaks[60]",1708,"right"
1,"Rpeaks[61]",1754,"left"
1,"Rpeaks[62]",1769,"right"
1,"Rpeaks[63]",1798,"left"
1,"Rpeaks[64]",1842,"right"
1,"Rpeaks[65]",1883,"left"
1,"Rpeaks[66]",1896,"right"
1,"Rpeaks[67]",1929,"left"
1,"Rpeaks[68]",1972,"right"
1,"Rpeaks[69]",2015,"left"
1,"Rpeaks[70]",2029,"right"
1,"Rpeaks[71]",2058,"left"
1,"Rpeaks[72]",2101,"right"
1,"Rpeaks[73]",2153,"left"
1,"Rpeaks[74]",2190,"right"
1,"Rpeaks[75]",2231,"left"
1,"Rpeaks[76]",2274,"right"
1,"Rpeaks[77]",2315,"left"
1,"Rpeaks[78]",2358,"right"
1,"Rpeaks[79]",2399,"left"
1,"Rpeaks[80]",2442,"right"
1,"Rpeaks[81]",2486,"left"
1,"Rpeaks[82]",2530,"right"
1,"Rpeaks[83]",2544,"left"
1,"Rpeaks[84]",2575,"right"
1,"Rpeaks[85]",2617,"left"
1,"Rpeaks[86]",2661,"right"
1,"Rpeaks[87]",2701,"left"
1,"Rpeaks[88]",2744,"right"
1,"Rpeaks[89]",2792,"left"
1,"Rpeaks[90]",2829,"right"
1,"Rpeaks[91]",2872,"left"
1,"Rpeaks[92]",2914,"right"
