"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"Rpeaks[0]",41,"left"
1,"Rpeaks[1]",56,"right"
1,"Rpeaks[2]",85,"left"
1,"Rpeaks[3]",97,"right"
1,"Rpeaks[4]",128,"left"
1,"Rpeaks[5]",144,"right"
1,"Rpeaks[6]",172,"left"
1,"Rpeaks[7]",217,"right"
1,"Rpeaks[8]",233,"left"
1,"Rpeaks[9]",262,"right"
1,"Rpeaks[10]",305,"left"
1,"Rpeaks[11]",320,"right"
1,"Rpeaks[12]",348,"left"
1,"Rpeaks[13]",392,"right"
1,"Rpeaks[14]",408,"left"
1,"Rpeaks[15]",435,"right"
1,"Rpeaks[16]",481,"left"
1,"Rpeaks[17]",496,"right"
1,"Rpeaks[18]",525,"left"
1,"Rpeaks[19]",538,"right"
1,"Rpeaks[20]",570,"left"
1,"Rpeaks[21]",585,"right"
1,"Rpeaks[22]",615,"left"
1,"Rpeaks[23]",658,"right"
1,"Rpeaks[24]",675,"left"
1,"Rpeaks[25]",703,"right"
1,"Rpeaks[26]",749,"left"
1,"Rpeaks[27]",765,"right"
1,"Rpeaks[28]",794,"left"
1,"Rpeaks[29]",838,"right"
1,"Rpeaks[30]",854,"left"
1,"Rpeaks[31]",883,"right"
1,"Rpeaks[32]",927,"left"
1,"Rpeaks[33]",942,"right"
1,"Rpeaks[34]",970,"left"
1,"Rpeaks[35]",1014,"right"
1,"Rpeaks[36]",1029,"left"
1,"Rpeaks[37]",1059,"right"
1,"Rpeaks[38]",1072,"left"
1,"Rpeaks[39]",1103,"right"
1,"Rpeaks[40]",1120,"left"
1,"Rpeaks[41]",1148,"right"
1,"Rpeaks[42]",1160,"left"
1,"Rpeaks[43]",1194,"right"
1,"Rpeaks[44]",1235,"left"
1,"Rpeaks[45]",1247,"right"
1,"Rpeaks[46]",1280,"left"
1,"Rpeaks[47]",1296,"right"
1,"Rpeaks[48]",1326,"left"
1,"Rpeaks[49]",1370,"right"
1,"Rpeaks[50]",1387,"left"
1,"Rpeaks[51]",1416,"right"
1,"Rpeaks[52]",1427,"left"
1,"Rpeaks[53]",1459,"right"
1,"Rpeaks[54]",1474,"left"
1,"Rpeaks[55]",1503,"right"
1,"Rpeaks[56]",1548,"left"
1,"Rpeaks[57]",1563,"right"
1,"Rpeaks[58]",1591,"left"
1,"Rpeaks[59]",1635,"right"
1,"Rpeaks[60]",1649,"left"
1,"Rpeaks[61]",1679,"right"
1,"Rpeaks[62]",1723,"left"
1,"Rpeaks[63]",1764,"right"
1,"Rpeaks[64]",1809,"left"
1,"Rpeaks[65]",1851,"right"
1,"Rpeaks[66]",1894,"left"
1,"Rpeaks[67]",1908,"right"
1,"Rpeaks[68]",1937,"left"
1,"Rpeaks[69]",1981,"right"
1,"Rpeaks[70]",2024,"left"
1,"Rpeaks[71]",2068,"right"
1,"Rpeaks[72]",2082,"left"
1,"Rpeaks[73]",2111,"right"
1,"Rpeaks[74]",2156,"left"
1,"Rpeaks[75]",2199,"right"
1,"Rpeaks[76]",2241,"left"
1,"Rpeaks[77]",2281,"right"
1,"Rpeaks[78]",2325,"left"
1,"Rpeaks[79]",2339,"right"
1,"Rpeaks[80]",2365,"left"
1,"Rpeaks[81]",2412,"right"
1,"Rpeaks[82]",2453,"left"
1,"Rpeaks[83]",2497,"right"
1,"Rpeaks[84]",2538,"left"
1,"Rpeaks[85]",2582,"right"
1,"Rpeaks[86]",2597,"left"
1,"Rpeaks[87]",2625,"right"
1,"Rpeaks[88]",2669,"left"
1,"Rpeaks[89]",2711,"right"
1,"Rpeaks[90]",2755,"left"
1,"Rpeaks[91]",2771,"right"
1,"Rpeaks[92]",2798,"left"
1,"Rpeaks[93]",2841,"right"
1,"Rpeaks[94]",2856,"left"
1,"Rpeaks[95]",2885,"right"
1,"Rpeaks[96]",2929,"left"
1,"Rpeaks[97]",2945,"right"
