"Interval_no","Peaks_Index","Peaks_value"
1,"Rpeaks[0]",60
1,"Rpeaks[1]",89
1,"Rpeaks[2]",128
1,"Rpeaks[3]",158
1,"Rpeaks[4]",197
1,"Rpeaks[5]",227
1,"Rpeaks[6]",267
1,"Rpeaks[7]",297
1,"Rpeaks[8]",337
1,"Rpeaks[9]",366
1,"Rpeaks[10]",405
1,"Rpeaks[11]",436
1,"Rpeaks[12]",474
1,"Rpeaks[13]",503
1,"Rpeaks[14]",542
1,"Rpeaks[15]",572
1,"Rpeaks[16]",612
1,"Rpeaks[17]",641
1,"Rpeaks[18]",680
1,"Rpeaks[19]",711
1,"Rpeaks[20]",750
1,"Rpeaks[21]",780
1,"Rpeaks[22]",819
1,"Rpeaks[23]",849
1,"Rpeaks[24]",888
1,"Rpeaks[25]",917
1,"Rpeaks[26]",955
1,"Rpeaks[27]",985
1,"Rpeaks[28]",1023
1,"Rpeaks[29]",1053
1,"Rpeaks[30]",1092
1,"Rpeaks[31]",1122
1,"Rpeaks[32]",1162
1,"Rpeaks[33]",1191
1,"Rpeaks[34]",1231
1,"Rpeaks[35]",1261
1,"Rpeaks[36]",1301
1,"Rpeaks[37]",1331
1,"Rpeaks[38]",1370
1,"Rpeaks[39]",1400
1,"Rpeaks[40]",1439
1,"Rpeaks[41]",1469
1,"Rpeaks[42]",1508
1,"Rpeaks[43]",1538
1,"Rpeaks[44]",1577
1,"Rpeaks[45]",1607
1,"Rpeaks[46]",1647
1,"Rpeaks[47]",1676
1,"Rpeaks[48]",1716
1,"Rpeaks[49]",1746
1,"Rpeaks[50]",1785
1,"Rpeaks[51]",1816
1,"Rpeaks[52]",1855
1,"Rpeaks[53]",1886
1,"Rpeaks[54]",1924
1,"Rpeaks[55]",1954
1,"Rpeaks[56]",1994
1,"Rpeaks[57]",2025
1,"Rpeaks[58]",2063
1,"Rpeaks[59]",2093
1,"Rpeaks[60]",2132
1,"Rpeaks[61]",2162
1,"Rpeaks[62]",2201
1,"Rpeaks[63]",2230
1,"Rpeaks[64]",2270
1,"Rpeaks[65]",2299
1,"Rpeaks[66]",2338
1,"Rpeaks[67]",2369
1,"Rpeaks[68]",2407
1,"Rpeaks[69]",2437
1,"Rpeaks[70]",2476
1,"Rpeaks[71]",2507
1,"Rpeaks[72]",2547
1,"Rpeaks[73]",2577
1,"Rpeaks[74]",2617
1,"Rpeaks[75]",2647
1,"Rpeaks[76]",2687
1,"Rpeaks[77]",2717
1,"Rpeaks[78]",2756
1,"Rpeaks[79]",2786
1,"Rpeaks[80]",2824
1,"Rpeaks[81]",2854
1,"Rpeaks[82]",2894
1,"Rpeaks[83]",2923
1,"Rpeaks[84]",2963
