"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"Rpeaks[0]",60,"left"
1,"Rpeaks[1]",89,"right"
1,"Rpeaks[2]",128,"left"
1,"Rpeaks[3]",158,"right"
1,"Rpeaks[4]",197,"left"
1,"Rpeaks[5]",227,"right"
1,"Rpeaks[6]",267,"left"
1,"Rpeaks[7]",297,"right"
1,"Rpeaks[8]",337,"left"
1,"Rpeaks[9]",366,"right"
1,"Rpeaks[10]",405,"left"
1,"Rpeaks[11]",436,"right"
1,"Rpeaks[12]",474,"left"
1,"Rpeaks[13]",503,"right"
1,"Rpeaks[14]",542,"left"
1,"Rpeaks[15]",572,"right"
1,"Rpeaks[16]",612,"left"
1,"Rpeaks[17]",641,"right"
1,"Rpeaks[18]",680,"left"
1,"Rpeaks[19]",711,"right"
1,"Rpeaks[20]",750,"left"
1,"Rpeaks[21]",780,"right"
1,"Rpeaks[22]",819,"left"
1,"Rpeaks[23]",849,"right"
1,"Rpeaks[24]",888,"left"
1,"Rpeaks[25]",917,"right"
1,"Rpeaks[26]",955,"left"
1,"Rpeaks[27]",985,"right"
1,"Rpeaks[28]",1023,"left"
1,"Rpeaks[29]",1053,"right"
1,"Rpeaks[30]",1092,"left"
1,"Rpeaks[31]",1122,"right"
1,"Rpeaks[32]",1162,"left"
1,"Rpeaks[33]",1191,"right"
1,"Rpeaks[34]",1231,"left"
1,"Rpeaks[35]",1261,"right"
1,"Rpeaks[36]",1301,"left"
1,"Rpeaks[37]",1331,"right"
1,"Rpeaks[38]",1370,"left"
1,"Rpeaks[39]",1400,"right"
1,"Rpeaks[40]",1439,"left"
1,"Rpeaks[41]",1469,"right"
1,"Rpeaks[42]",1508,"left"
1,"Rpeaks[43]",1538,"right"
1,"Rpeaks[44]",1577,"left"
1,"Rpeaks[45]",1607,"right"
1,"Rpeaks[46]",1647,"left"
1,"Rpeaks[47]",1676,"right"
1,"Rpeaks[48]",1716,"left"
1,"Rpeaks[49]",1746,"right"
1,"Rpeaks[50]",1785,"left"
1,"Rpeaks[51]",1816,"right"
1,"Rpeaks[52]",1855,"left"
1,"Rpeaks[53]",1886,"right"
1,"Rpeaks[54]",1924,"left"
1,"Rpeaks[55]",1954,"right"
1,"Rpeaks[56]",1994,"left"
1,"Rpeaks[57]",2025,"right"
1,"Rpeaks[58]",2063,"left"
1,"Rpeaks[59]",2093,"right"
1,"Rpeaks[60]",2132,"left"
1,"Rpeaks[61]",2162,"right"
1,"Rpeaks[62]",2201,"left"
1,"Rpeaks[63]",2230,"right"
1,"Rpeaks[64]",2270,"left"
1,"Rpeaks[65]",2299,"right"
1,"Rpeaks[66]",2338,"left"
1,"Rpeaks[67]",2369,"right"
1,"Rpeaks[68]",2407,"left"
1,"Rpeaks[69]",2437,"right"
1,"Rpeaks[70]",2476,"left"
1,"Rpeaks[71]",2507,"right"
1,"Rpeaks[72]",2547,"left"
1,"Rpeaks[73]",2577,"right"
1,"Rpeaks[74]",2617,"left"
1,"Rpeaks[75]",2647,"right"
1,"Rpeaks[76]",2687,"left"
1,"Rpeaks[77]",2717,"right"
1,"Rpeaks[78]",2756,"left"
1,"Rpeaks[79]",2786,"right"
1,"Rpeaks[80]",2824,"left"
1,"Rpeaks[81]",2854,"right"
1,"Rpeaks[82]",2894,"left"
1,"Rpeaks[83]",2923,"right"
1,"Rpeaks[84]",2963,"left"
