"x","y","z","interval_no","runtype","packet_no"
-0.26367188,-0.12060547,2.6699219,1,4,1
0.12988281,0.09375,4.3881836,1,4,2
-0.4091797,0.32373047,3.3261719,1,4,3
0.0859375,-0.7583008,2.4433594,1,4,4
-0.29589844,-1.1972656,3.0297852,1,4,5
-0.8378906,-0.22167969,4.043457,1,4,6
-0.29833984,-0.45117188,4.458496,1,4,7
6.7460938,-2.4038086,4.3476562,1,4,8
15.999512,-1.2182617,1.3383789,1,4,9
12.762695,1.2802734,0.13769531,1,4,10
0.7270508,1.3051758,2.0078125,1,4,11
1.4697266,2.1030273,2.628418,1,4,12
3.5361328,1.5415039,2.8652344,1,4,13
4.3286133,0.068359375,2.4736328,1,4,14
3.4360352,-0.5571289,1.8618164,1,4,15
2.7333984,-0.59375,1.6577148,1,4,16
2.3881836,-0.7636719,1.5766602,1,4,17
2.0830078,-0.92529297,1.4248047,1,4,18
1.8344727,-0.7080078,1.3999023,1,4,19
1.6499023,-0.5761719,1.4755859,1,4,20
1.6049805,-0.5419922,1.3676758,1,4,21
1.565918,-0.40234375,1.355957,1,4,22
1.3354492,-0.16845703,1.4536133,1,4,23
0.89697266,-0.28857422,1.5947266,1,4,24
0.4716797,-0.57128906,1.7216797,1,4,25
0.18066406,-0.703125,1.6782227,1,4,26
-0.091308594,-0.5419922,1.6474609,1,4,27
-0.3227539,-0.29882812,1.6884766,1,4,28
-0.49853516,-0.19921875,1.6259766,1,4,29
-0.5961914,-0.10986328,1.4038086,1,4,30
-0.5834961,0.02734375,1.2099609,1,4,31
-0.57373047,0.12548828,0.984375,1,4,32
-0.6357422,0.22314453,0.7788086,1,4,33
-0.6152344,0.23339844,0.62841797,1,4,34
-0.4296875,0.09277344,1.6723633,1,4,35
-0.09472656,-0.65771484,4.8867188,1,4,36
-0.40966797,-0.55566406,4.0283203,1,4,37
-0.44921875,-0.27929688,2.6513672,1,4,38
-0.12011719,0.46728516,1.2333984,1,4,39
0.40625,1.0654297,3.166504,1,4,40
1.3183594,0.78515625,5.6157227,1,4,41
3.3120117,2.1435547,5.838867,1,4,42
15.661621,1.315918,-1.800293,1,4,43
15.999512,-3.7177734,-1.2768555,1,4,44
