"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"Rpeaks[0]",32,"right"
1,"Rpeaks[1]",69,"left"
1,"Rpeaks[2]",101,"right"
1,"Rpeaks[3]",137,"left"
1,"Rpeaks[4]",168,"right"
1,"Rpeaks[5]",201,"left"
1,"Rpeaks[6]",205,"right"
1,"Rpeaks[7]",236,"left"
1,"Rpeaks[8]",273,"right"
1,"Rpeaks[9]",304,"left"
1,"Rpeaks[10]",341,"right"
1,"Rpeaks[11]",372,"left"
1,"Rpeaks[12]",409,"right"
1,"Rpeaks[13]",440,"left"
1,"Rpeaks[14]",477,"right"
1,"Rpeaks[15]",508,"left"
1,"Rpeaks[16]",541,"right"
1,"Rpeaks[17]",545,"left"
1,"Rpeaks[18]",576,"right"
1,"Rpeaks[19]",613,"left"
1,"Rpeaks[20]",645,"right"
1,"Rpeaks[21]",676,"left"
1,"Rpeaks[22]",712,"right"
1,"Rpeaks[23]",749,"left"
1,"Rpeaks[24]",780,"right"
1,"Rpeaks[25]",813,"left"
1,"Rpeaks[26]",817,"right"
1,"Rpeaks[27]",849,"left"
1,"Rpeaks[28]",882,"right"
1,"Rpeaks[29]",885,"left"
1,"Rpeaks[30]",916,"right"
1,"Rpeaks[31]",948,"left"
1,"Rpeaks[32]",985,"right"
1,"Rpeaks[33]",1021,"left"
1,"Rpeaks[34]",1053,"right"
1,"Rpeaks[35]",1089,"left"
1,"Rpeaks[36]",1121,"right"
1,"Rpeaks[37]",1153,"left"
1,"Rpeaks[38]",1188,"right"
1,"Rpeaks[39]",1224,"left"
1,"Rpeaks[40]",1254,"right"
1,"Rpeaks[41]",1291,"left"
1,"Rpeaks[42]",1322,"right"
1,"Rpeaks[43]",1355,"left"
1,"Rpeaks[44]",1390,"right"
1,"Rpeaks[45]",1426,"left"
1,"Rpeaks[46]",1457,"right"
1,"Rpeaks[47]",1495,"left"
1,"Rpeaks[48]",1527,"right"
1,"Rpeaks[49]",1563,"left"
1,"Rpeaks[50]",1595,"right"
1,"Rpeaks[51]",1631,"left"
1,"Rpeaks[52]",1663,"right"
1,"Rpeaks[53]",1699,"left"
1,"Rpeaks[54]",1728,"right"
1,"Rpeaks[55]",1766,"left"
1,"Rpeaks[56]",1798,"right"
1,"Rpeaks[57]",1830,"left"
1,"Rpeaks[58]",1833,"right"
1,"Rpeaks[59]",1865,"left"
1,"Rpeaks[60]",1901,"right"
1,"Rpeaks[61]",1933,"left"
1,"Rpeaks[62]",1969,"right"
1,"Rpeaks[63]",2001,"left"
1,"Rpeaks[64]",2037,"right"
1,"Rpeaks[65]",2069,"left"
1,"Rpeaks[66]",2104,"right"
1,"Rpeaks[67]",2136,"left"
1,"Rpeaks[68]",2172,"right"
1,"Rpeaks[69]",2204,"left"
1,"Rpeaks[70]",2240,"right"
1,"Rpeaks[71]",2271,"left"
1,"Rpeaks[72]",2304,"right"
1,"Rpeaks[73]",2307,"left"
1,"Rpeaks[74]",2339,"right"
1,"Rpeaks[75]",2375,"left"
1,"Rpeaks[76]",2406,"right"
1,"Rpeaks[77]",2443,"left"
1,"Rpeaks[78]",2475,"right"
1,"Rpeaks[79]",2512,"left"
1,"Rpeaks[80]",2543,"right"
1,"Rpeaks[81]",2576,"left"
1,"Rpeaks[82]",2580,"right"
1,"Rpeaks[83]",2611,"left"
1,"Rpeaks[84]",2647,"right"
1,"Rpeaks[85]",2678,"left"
1,"Rpeaks[86]",2714,"right"
1,"Rpeaks[87]",2745,"left"
1,"Rpeaks[88]",2782,"right"
1,"Rpeaks[89]",2814,"left"
1,"Rpeaks[90]",2851,"right"
1,"Rpeaks[91]",2882,"left"
1,"Rpeaks[92]",2918,"right"
1,"Rpeaks[93]",2949,"left"
1,"Rpeaks[94]",2985,"right"
