"Interval_no","Peaks_Index","Peaks_value"
1,"Rpeaks[0]",89
1,"Rpeaks[1]",129
1,"Rpeaks[2]",169
1,"Rpeaks[3]",208
1,"Rpeaks[4]",246
1,"Rpeaks[5]",288
1,"Rpeaks[6]",328
1,"Rpeaks[7]",368
1,"Rpeaks[8]",408
1,"Rpeaks[9]",447
1,"Rpeaks[10]",486
1,"Rpeaks[11]",527
1,"Rpeaks[12]",564
1,"Rpeaks[13]",606
1,"Rpeaks[14]",647
1,"Rpeaks[15]",686
1,"Rpeaks[16]",723
1,"Rpeaks[17]",764
1,"Rpeaks[18]",803
1,"Rpeaks[19]",842
1,"Rpeaks[20]",881
1,"Rpeaks[21]",921
1,"Rpeaks[22]",961
1,"Rpeaks[23]",999
1,"Rpeaks[24]",1040
1,"Rpeaks[25]",1078
1,"Rpeaks[26]",1118
1,"Rpeaks[27]",1158
1,"Rpeaks[28]",1196
1,"Rpeaks[29]",1238
1,"Rpeaks[30]",1276
1,"Rpeaks[31]",1317
1,"Rpeaks[32]",1356
1,"Rpeaks[33]",1396
1,"Rpeaks[34]",1435
1,"Rpeaks[35]",1477
1,"Rpeaks[36]",1516
1,"Rpeaks[37]",1558
1,"Rpeaks[38]",1596
1,"Rpeaks[39]",1639
1,"Rpeaks[40]",1677
1,"Rpeaks[41]",1719
1,"Rpeaks[42]",1758
1,"Rpeaks[43]",1799
1,"Rpeaks[44]",1837
1,"Rpeaks[45]",1879
1,"Rpeaks[46]",1918
1,"Rpeaks[47]",1957
1,"Rpeaks[48]",1996
1,"Rpeaks[49]",2037
1,"Rpeaks[50]",2077
1,"Rpeaks[51]",2115
1,"Rpeaks[52]",2154
1,"Rpeaks[53]",2195
1,"Rpeaks[54]",2236
1,"Rpeaks[55]",2274
1,"Rpeaks[56]",2314
1,"Rpeaks[57]",2352
1,"Rpeaks[58]",2391
1,"Rpeaks[59]",2431
1,"Rpeaks[60]",2469
1,"Rpeaks[61]",2510
1,"Rpeaks[62]",2549
1,"Rpeaks[63]",2588
1,"Rpeaks[64]",2627
1,"Rpeaks[65]",2667
1,"Rpeaks[66]",2706
1,"Rpeaks[67]",2743
1,"Rpeaks[68]",2783
1,"Rpeaks[69]",2822
1,"Rpeaks[70]",2862
1,"Rpeaks[71]",2901
1,"Rpeaks[72]",2939
