"x","y","z","interval_no","runtype","packet_no"
1.7363281,-0.0703125,1.7426758,1,4,1
1.2280273,0.15527344,1.5205078,1,4,2
0.7675781,0.24609375,1.3183594,1,4,3
0.2578125,0.27490234,1.4912109,1,4,4
-0.15478516,0.10058594,1.7856445,1,4,5
-0.49023438,-0.091796875,1.8300781,1,4,6
-0.8442383,0.087402344,1.6611328,1,4,7
-1.4697266,0.3540039,1.3818359,1,4,8
-2.190918,0.61865234,1.1899414,1,4,9
-2.5493164,0.73095703,1.1015625,1,4,10
-2.3154297,0.5605469,0.98583984,1,4,11
-1.5605469,0.25,0.92626953,1,4,12
-0.72509766,0.048828125,0.94921875,1,4,13
-0.18798828,0.03466797,1.0898438,1,4,14
0.17529297,-0.07861328,1.3330078,1,4,15
0.28955078,-0.30273438,1.9335938,1,4,16
0.05029297,-0.2475586,3.8637695,1,4,17
0.08154297,0.013671875,4.34375,1,4,18
-0.45507812,-0.9008789,3.6791992,1,4,19
0.9248047,-7.546875,3.3798828,1,4,20
11.9375,-4.0756836,3.6469727,1,4,21
5.7070312,0.99316406,3.1381836,1,4,22
3.1137695,4.669922,2.8271484,1,4,23
2.0737305,5.894043,2.7636719,1,4,24
2.9467773,3.472168,2.4140625,1,4,25
2.682129,2.4936523,2.5717773,1,4,26
2.897461,0.6401367,2.4916992,1,4,27
3.0708008,-0.5234375,2.5786133,1,4,28
3.1445312,-1.8344727,2.4873047,1,4,29
3.1113281,-1.7260742,2.3115234,1,4,30
3.699707,0.0014648438,2.2006836,1,4,31
4.4506836,0.64990234,2.5234375,1,4,32
4.043457,0.7841797,2.3979492,1,4,33
3.6567383,0.9355469,2.1323242,1,4,34
3.211914,0.92285156,1.8916016,1,4,35
2.9350586,0.61328125,1.5756836,1,4,36
2.599121,0.23388672,1.5263672,1,4,37
2.4575195,-0.0087890625,1.6547852,1,4,38
2.3105469,0.0014648438,1.3344727,1,4,39
1.8720703,-0.0073242188,1.2280273,1,4,40
1.3637695,-0.04638672,1.3955078,1,4,41
0.93847656,-0.1743164,1.6757812,1,4,42
0.41503906,-0.24951172,1.7753906,1,4,43
-0.1928711,-0.61865234,1.5678711,1,4,44
-0.6098633,-0.8540039,1.4663086,1,4,45
-0.97753906,-1.0629883,1.5004883,1,4,46
-1.3769531,-1.1118164,1.5678711,1,4,47
-1.7070312,-0.8208008,1.4707031,1,4,48
-1.9824219,-0.4794922,1.375,1,4,49
-1.9667969,0.0063476562,1.2104492,1,4,50
-1.5722656,0.34033203,0.9506836,1,4,51
-0.9692383,0.35839844,0.7607422,1,4,52
-0.67333984,0.5527344,0.87402344,1,4,53
-0.46777344,0.6689453,1.1469727,1,4,54
-0.35253906,0.46923828,1.390625,1,4,55
-0.5834961,0.39990234,2.911621,1,4,56
-0.3803711,-0.06640625,4.0751953,1,4,57
0.34472656,-0.23242188,3.5957031,1,4,58
1.5410156,2.8793945,2.5229492,1,4,59
5.3134766,3.1875,2.2636719,1,4,60
10.316406,-1.0307617,4.4975586,1,4,61
6.258789,-4.1030273,3.3051758,1,4,62
3.427246,-5.9086914,2.4707031,1,4,63
3.1469727,-2.4140625,2.7626953,1,4,64
2.175293,-0.88378906,2.8144531,1,4,65
2.8583984,-0.07714844,2.8520508,1,4,66
3.868164,0.38085938,3.165039,1,4,67
4.6884766,0.018554688,2.9365234,1,4,68
5.0092773,-0.5004883,2.6342773,1,4,69
4.2075195,-0.58447266,2.4658203,1,4,70
3.8374023,-0.7285156,2.2363281,1,4,71
3.739746,-0.49853516,2.0791016,1,4,72
3.5507812,-0.36328125,2.0097656,1,4,73
3.8032227,-0.58154297,2.0185547,1,4,74
3.8857422,-0.9013672,2.0126953,1,4,75
3.5893555,-1.0458984,1.9321289,1,4,76
3.0024414,-0.89941406,1.7724609,1,4,77
2.3442383,-0.7192383,1.7133789,1,4,78
2.0810547,-0.4638672,1.6987305,1,4,79
1.8686523,-0.22460938,1.7207031,1,4,80
1.4926758,0.033691406,1.5864258,1,4,81
1.0087891,0.17285156,1.4160156,1,4,82
0.4267578,0.19091797,1.3544922,1,4,83
-0.048828125,0.19091797,1.3554688,1,4,84
-0.38671875,0.20507812,1.4995117,1,4,85
-0.72314453,0.33935547,1.7631836,1,4,86
-1.1430664,0.5395508,1.6992188,1,4,87
-1.5039062,0.796875,1.5722656,1,4,88
-1.8154297,0.82177734,1.6728516,1,4,89
-2.1918945,0.69189453,1.7177734,1,4,90
-2.1831055,0.5058594,1.3232422,1,4,91
-1.8500977,0.3154297,0.9453125,1,4,92
-1.171875,-0.072753906,0.7475586,1,4,93
-0.6064453,-0.34033203,1.0390625,1,4,94
-0.171875,-0.5102539,1.324707,1,4,95
-0.18408203,-0.45996094,3.166504,1,4,96
-0.00048828125,-0.41796875,4.1293945,1,4,97
0.3173828,-0.92822266,3.4794922,1,4,98
0.7636719,-4.8564453,2.9121094,1,4,99
8.104004,-6.5908203,3.6396484,1,4,100
10.244629,-0.4975586,2.6064453,1,4,101
3.9467773,3.2612305,2.9731445,1,4,102
2.6323242,7.366699,2.7993164,1,4,103
2.8574219,3.9399414,2.0732422,1,4,104
2.487793,3.1367188,2.300293,1,4,105
2.1601562,1.300293,2.4526367,1,4,106
2.6391602,-0.041015625,2.5375977,1,4,107
2.6777344,-1.3164062,2.5722656,1,4,108
3.0151367,-1.8173828,2.4975586,1,4,109
3.7470703,-1.1240234,2.383789,1,4,110
4.6899414,0.028320312,2.4667969,1,4,111
3.8618164,0.03857422,2.4204102,1,4,112
2.9804688,0.12939453,2.1308594,1,4,113
3.4208984,0.28857422,2.0595703,1,4,114
3.041504,0.28271484,1.909668,1,4,115
2.4326172,0.16064453,1.7338867,1,4,116
2.1489258,0.056152344,1.5527344,1,4,117
1.9863281,0.022949219,1.4663086,1,4,118
2.003418,0.04736328,1.3676758,1,4,119
1.7983398,0.06591797,1.3642578,1,4,120
1.4345703,0.15722656,1.4580078,1,4,121
1.0336914,0.15136719,1.4599609,1,4,122
0.5048828,0.04296875,1.472168,1,4,123
-0.041015625,-0.26660156,1.5717773,1,4,124
-0.46972656,-0.60839844,1.5209961,1,4,125
-0.76123047,-0.7324219,1.4589844,1,4,126
-1.2314453,-0.7734375,1.3774414,1,4,127
-1.8374023,-0.57470703,1.2631836,1,4,128
-2.378418,-0.2709961,1.1313477,1,4,129
-2.2856445,-0.03173828,0.9223633,1,4,130
-1.5874023,0.15820312,0.8305664,1,4,131
-1.0136719,0.25976562,0.93310547,1,4,132
-0.6904297,0.3984375,1.1352539,1,4,133
-0.4609375,0.59765625,1.4882812,1,4,134
-0.6069336,0.66308594,2.8657227,1,4,135
-0.40625,0.3798828,3.8613281,1,4,136
0.15283203,0.21972656,3.4555664,1,4,137
0.8881836,2.5698242,2.755371,1,4,138
4.904297,3.6767578,2.4003906,1,4,139
11.191895,-0.3623047,4.3930664,1,4,140
8.430664,-3.7895508,4.0273438,1,4,141
1.8803711,-6.1132812,2.9003906,1,4,142
2.684082,-2.2548828,2.9038086,1,4,143
2.449707,-0.83251953,2.8706055,1,4,144
2.927246,-0.19921875,2.8359375,1,4,145
3.6020508,0.100097656,3.0161133,1,4,146
4.645508,0.032714844,2.9282227,1,4,147
5.1694336,-0.41064453,2.6704102,1,4,148
4.272949,-0.56152344,2.458496,1,4,149
3.722168,-0.67041016,2.192871,1,4,150
3.4038086,-0.57177734,1.9116211,1,4,151
3.1733398,-0.3486328,1.8613281,1,4,152
3.241211,-0.52246094,1.7949219,1,4,153
3.3701172,-0.7373047,1.8613281,1,4,154
3.2402344,-0.8173828,1.8564453,1,4,155
2.8364258,-0.70751953,1.8266602,1,4,156
2.5302734,-0.51416016,1.7612305,1,4,157
2.2104492,-0.31152344,1.8173828,1,4,158
1.9082031,0.036621094,1.7373047,1,4,159
1.4335938,0.2788086,1.597168,1,4,160
0.9663086,0.31933594,1.3798828,1,4,161
0.50390625,0.36132812,1.296875,1,4,162
0.14941406,0.4482422,1.2539062,1,4,163
-0.2475586,0.41357422,1.4672852,1,4,164
-0.5083008,0.37451172,1.5947266,1,4,165
-0.8618164,0.5024414,1.5791016,1,4,166
-1.3920898,0.7421875,1.5986328,1,4,167
-1.8588867,0.609375,1.7167969,1,4,168
-1.9443359,0.42578125,1.543457,1,4,169
-1.7148438,0.29345703,1.1826172,1,4,170
-1.3417969,0.06640625,0.9682617,1,4,171
-0.9326172,-0.25878906,0.8461914,1,4,172
-0.5131836,-0.115722656,0.9057617,1,4,173
-0.29052734,-0.12158203,1.3017578,1,4,174
-0.38916016,-0.40185547,2.5532227,1,4,175
-0.36669922,-0.28271484,3.9555664,1,4,176
-0.46044922,-0.234375,4.368164,1,4,177
-0.24951172,-2.0483398,3.5932617,1,4,178
9.267578,-8.415039,4.934082,1,4,179
9.952637,-1.449707,2.7104492,1,4,180
1.8173828,1.4077148,2.5043945,1,4,181
2.5239258,5.7871094,2.9101562,1,4,182
3.871582,4.2714844,2.3598633,1,4,183
2.0488281,2.8051758,2.4208984,1,4,184
2.3422852,1.2861328,2.6669922,1,4,185
2.9902344,0.008300781,2.802246,1,4,186
3.1035156,-1.3139648,2.7041016,1,4,187
3.1972656,-1.675293,2.6186523,1,4,188
3.2641602,-0.86621094,2.291504,1,4,189
3.6137695,0.38867188,2.3461914,1,4,190
3.8862305,0.7871094,2.4760742,1,4,191
3.3847656,0.6459961,2.1225586,1,4,192
3.0253906,0.3408203,1.9589844,1,4,193
2.7202148,0.067871094,1.7680664,1,4,194
2.5385742,0.0009765625,1.7207031,1,4,195
2.6118164,-0.13232422,1.7050781,1,4,196
2.4863281,0.022949219,1.5439453,1,4,197
2.099121,0.16308594,1.2866211,1,4,198
1.5830078,0.15771484,1.2890625,1,4,199
1.2089844,-0.0073242188,1.4785156,1,4,200
0.7792969,-0.15966797,1.5761719,1,4,201
0.29833984,-0.41015625,1.6547852,1,4,202
-0.15673828,-0.6044922,1.7099609,1,4,203
-0.63378906,-0.7998047,1.6254883,1,4,204
-0.96728516,-0.9995117,1.4824219,1,4,205
-1.4633789,-0.93359375,1.3261719,1,4,206
-1.8950195,-0.64941406,1.3413086,1,4,207
-2.0742188,-0.23388672,1.3027344,1,4,208
-1.7958984,0.23583984,1.1713867,1,4,209
-1.2265625,0.48095703,1.0673828,1,4,210
-0.7836914,0.54296875,1.1987305,1,4,211
-0.5854492,0.72753906,1.6352539,1,4,212
-0.6113281,0.7817383,2.5756836,1,4,213
-0.74365234,0.63134766,3.7138672,1,4,214
-0.37890625,0.5131836,3.1142578,1,4,215
0.059570312,1.6435547,2.2392578,1,4,216
1.2172852,3.3862305,1.6420898,1,4,217
4.335449,1.1762695,2.1723633,1,4,218
10.204102,-1.5419922,4.7539062,1,4,219
8.489258,-4.2558594,3.9506836,1,4,220
2.3862305,-5.9692383,2.3588867,1,4,221
2.5,-2.6992188,2.725586,1,4,222
2.540039,-0.69873047,3.0874023,1,4,223
3.5439453,0.2993164,2.8208008,1,4,224
4.161133,0.19384766,2.965332,1,4,225
4.338379,-0.58691406,2.6791992,1,4,226
4.9882812,-0.97753906,2.540039,1,4,227
4.4331055,-0.88964844,2.3588867,1,4,228
3.838379,-0.55810547,2.0375977,1,4,229
3.5625,-0.13427734,1.8344727,1,4,230
3.7675781,-0.21826172,1.8251953,1,4,231
3.9248047,-0.4428711,1.8657227,1,4,232
3.7763672,-0.6538086,1.9375,1,4,233
3.6298828,-0.6738281,1.9594727,1,4,234
3.2197266,-0.39990234,2.0732422,1,4,235
2.649414,-0.13623047,2.0810547,1,4,236
2.1938477,0.119140625,2.0668945,1,4,237
1.8359375,0.18652344,2.005371,1,4,238
1.4365234,0.23144531,1.7392578,1,4,239
1.0537109,0.19921875,1.5151367,1,4,240
0.6113281,0.21044922,1.2617188,1,4,241
0.15966797,0.12792969,1.2333984,1,4,242
-0.30273438,-0.080078125,1.4331055,1,4,243
-0.8051758,-0.17041016,1.609375,1,4,244
-1.4609375,0.08203125,1.4555664,1,4,245
-2.1953125,0.3857422,1.1381836,1,4,246
-2.5039062,0.7446289,1.0864258,1,4,247
-2.2641602,0.78027344,1.1303711,1,4,248
-1.6235352,0.6230469,1.1674805,1,4,249
-0.84521484,0.27441406,1.2348633,1,4,250
-0.3779297,-0.09863281,1.1342773,1,4,251
0.033691406,-0.21484375,1.074707,1,4,252
0.22802734,-0.19580078,1.4223633,1,4,253
0.14160156,-0.21386719,2.399414,1,4,254
-0.22363281,-0.088378906,4.320801,1,4,1
0.022949219,0.3232422,4.4833984,1,4,2
0.25634766,-2.340332,4.1708984,1,4,3
11.09082,-8.493164,4.4990234,1,4,4
7.895996,-0.07373047,2.7851562,1,4,5
2.1064453,1.5732422,2.7436523,1,4,6
2.0683594,5.35791,2.9355469,1,4,7
2.961914,4.5634766,2.4335938,1,4,8
2.0761719,3.2060547,2.5239258,1,4,9
1.8613281,1.753418,2.4365234,1,4,10
2.5410156,0.59814453,2.5551758,1,4,11
2.9609375,-0.59716797,2.5947266,1,4,12
3.4604492,-1.7880859,2.522461,1,4,13
3.5512695,-1.7705078,2.3305664,1,4,14
3.7392578,-0.50390625,2.225586,1,4,15
3.881836,0.026855469,2.557129,1,4,16
3.4233398,-0.010253906,2.340332,1,4,17
3.083496,0.12792969,2.1333008,1,4,18
2.8188477,0.2939453,1.9404297,1,4,19
2.7128906,0.33007812,1.8569336,1,4,20
2.4399414,0.2602539,1.7368164,1,4,21
2.2832031,0.22509766,1.6044922,1,4,22
2.1879883,0.41552734,1.440918,1,4,23
1.6503906,0.40429688,1.2246094,1,4,24
1.1577148,0.40722656,1.2397461,1,4,25
0.85546875,0.29589844,1.3193359,1,4,26
0.48339844,0.17578125,1.5195312,1,4,27
-0.03955078,0.04638672,1.7124023,1,4,28
-0.4580078,-0.31201172,1.3139648,1,4,29
-0.7871094,-0.82666016,1.1958008,1,4,30
-1.0717773,-1.1523438,1.1547852,1,4,31
-1.359375,-1.2719727,1.2421875,1,4,32
-1.4892578,-1.199707,1.3344727,1,4,33
-1.3481445,-0.8203125,1.2666016,1,4,34
-1.0952148,-0.36669922,1.1152344,1,4,35
-0.79345703,-0.091308594,1.0366211,1,4,36
-0.60498047,0.22949219,1.1142578,1,4,37
-0.45117188,0.33740234,1.3647461,1,4,38
-0.6489258,0.33447266,2.180664,1,4,39
-1.019043,0.107421875,3.809082,1,4,40
-0.5991211,-0.49267578,4.029785,1,4,41
-0.3203125,0.03515625,3.3989258,1,4,42
0.87597656,3.9399414,1.8227539,1,4,43
3.8520508,3.0541992,1.9287109,1,4,44
10.833496,-1.2734375,4.0473633,1,4,45
9.699707,-4.09375,4.0029297,1,4,46
2.260254,-6.3535156,2.2421875,1,4,47
2.5610352,-3.5014648,2.7504883,1,4,48
1.9057617,-1.4052734,2.7641602,1,4,49
2.881836,-0.067871094,2.4941406,1,4,50
4.307617,0.91503906,3.1411133,1,4,51
5.583008,0.5371094,3.1308594,1,4,52
5.1381836,-0.00048828125,2.6865234,1,4,53
4.3896484,-0.05517578,2.4672852,1,4,54
3.7421875,0.041503906,2.225586,1,4,55
3.3061523,0.31298828,2.0405273,1,4,56
3.2817383,-0.0087890625,1.8876953,1,4,57
3.8759766,-0.3857422,2.0024414,1,4,58
3.913086,-1.1186523,1.972168,1,4,59
3.7148438,-1.3540039,1.7758789,1,4,60
2.8085938,-1.434082,1.6235352,1,4,61
2.2456055,-1.0649414,1.7329102,1,4,62
2.0083008,-0.61035156,1.8569336,1,4,63
1.6987305,-0.13134766,1.8579102,1,4,64
1.3139648,0.14013672,1.6542969,1,4,65
0.88427734,0.42919922,1.4931641,1,4,66
0.5883789,0.6171875,1.3212891,1,4,67
0.37060547,0.8017578,1.3999023,1,4,68
0.12207031,0.69873047,1.4272461,1,4,69
-0.20166016,0.3798828,1.6772461,1,4,70
-0.4453125,0.045410156,1.7797852,1,4,71
-0.91308594,0.15429688,1.5615234,1,4,72
-1.5429688,0.22558594,1.4223633,1,4,73
-1.9428711,0.24072266,1.3652344,1,4,74
-2.119629,0.24658203,1.1264648,1,4,75
-1.7807617,0.25390625,0.8564453,1,4,76
-1.0527344,0.041503906,0.7763672,1,4,77
-0.54052734,0.06298828,1.1352539,1,4,78
-0.10107422,-0.02734375,1.3242188,1,4,79
-0.09033203,-0.03955078,2.586914,1,4,80
-0.1875,-0.20654297,4.038086,1,4,81
0.20654297,-0.27148438,3.9887695,1,4,82
0.2836914,-2.0336914,3.4677734,1,4,83
4.4257812,-6.7578125,4.4179688,1,4,84
11.310059,-1.7060547,3.807129,1,4,85
3.6298828,1.15625,3.1264648,1,4,86
2.2578125,5.4257812,2.8115234,1,4,87
3.305664,4.9067383,2.3955078,1,4,88
2.6357422,2.9379883,2.3808594,1,4,89
1.9560547,1.5229492,2.3447266,1,4,90
2.4335938,0.3935547,2.4492188,1,4,91
2.7016602,-0.16259766,2.4716797,1,4,92
3.105957,-0.76416016,2.5283203,1,4,93
3.9194336,-0.78515625,2.4482422,1,4,94
4.158203,0.001953125,2.3374023,1,4,95
3.8901367,0.28125,2.3583984,1,4,96
3.5620117,0.109375,2.2158203,1,4,97
3.286621,-0.09863281,2.0092773,1,4,98
2.8129883,-0.21191406,1.7880859,1,4,99
2.6704102,-0.3149414,1.8227539,1,4,100
2.4941406,-0.38085938,1.5361328,1,4,101
2.2075195,-0.30517578,1.262207,1,4,102
2.043457,-0.2368164,1.0722656,1,4,103
1.5776367,-0.3046875,1.1079102,1,4,104
1.15625,-0.40234375,1.3466797,1,4,105
0.86816406,-0.28759766,1.5737305,1,4,106
0.46923828,-0.31103516,1.6870117,1,4,107
-0.023925781,-0.5517578,1.8222656,1,4,108
-0.3466797,-0.80908203,1.890625,1,4,109
-0.6557617,-0.7290039,1.7636719,1,4,110
-1.0048828,-0.3803711,1.6186523,1,4,111
-1.3564453,-0.034179688,1.4912109,1,4,112
-1.5791016,0.36767578,1.2817383,1,4,113
-1.5908203,0.7060547,1.0039062,1,4,114
-1.46875,0.8354492,0.80029297,1,4,115
-1.1489258,0.78564453,0.8178711,1,4,116
-0.8491211,0.7705078,1.0014648,1,4,117
-0.58984375,0.69091797,1.0283203,1,4,118
-0.54785156,0.44677734,1.8066406,1,4,119
-0.45117188,-0.01171875,3.4814453,1,4,120
0.056152344,-0.54833984,4.0512695,1,4,121
0.58935547,-0.16113281,3.4731445,1,4,122
1.5473633,2.213379,2.4023438,1,4,123
4.701172,2.2392578,2.775879,1,4,124
10.199219,-1.7363281,4.7524414,1,4,125
6.5009766,-3.3393555,3.7128906,1,4,126
2.637207,-4.3129883,2.6357422,1,4,127
3.5078125,-2.4672852,2.9384766,1,4,128
2.6972656,-1.2294922,2.9174805,1,4,129
3.1430664,-0.7763672,2.9360352,1,4,130
3.8623047,-0.25732422,3.0756836,1,4,131
4.288086,0.036621094,2.932129,1,4,132
