"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"Rpeaks[0]",89,"left"
1,"Rpeaks[1]",129,"right"
1,"Rpeaks[2]",169,"left"
1,"Rpeaks[3]",208,"right"
1,"Rpeaks[4]",246,"left"
1,"Rpeaks[5]",288,"right"
1,"Rpeaks[6]",328,"left"
1,"Rpeaks[7]",368,"right"
1,"Rpeaks[8]",408,"left"
1,"Rpeaks[9]",447,"right"
1,"Rpeaks[10]",486,"left"
1,"Rpeaks[11]",527,"right"
1,"Rpeaks[12]",564,"left"
1,"Rpeaks[13]",606,"right"
1,"Rpeaks[14]",647,"left"
1,"Rpeaks[15]",686,"right"
1,"Rpeaks[16]",723,"left"
1,"Rpeaks[17]",764,"right"
1,"Rpeaks[18]",803,"left"
1,"Rpeaks[19]",842,"right"
1,"Rpeaks[20]",881,"left"
1,"Rpeaks[21]",921,"right"
1,"Rpeaks[22]",961,"left"
1,"Rpeaks[23]",999,"right"
1,"Rpeaks[24]",1040,"left"
1,"Rpeaks[25]",1078,"right"
1,"Rpeaks[26]",1118,"left"
1,"Rpeaks[27]",1158,"right"
1,"Rpeaks[28]",1196,"left"
1,"Rpeaks[29]",1238,"right"
1,"Rpeaks[30]",1276,"left"
1,"Rpeaks[31]",1317,"right"
1,"Rpeaks[32]",1356,"left"
1,"Rpeaks[33]",1396,"right"
1,"Rpeaks[34]",1435,"left"
1,"Rpeaks[35]",1477,"right"
1,"Rpeaks[36]",1516,"left"
1,"Rpeaks[37]",1558,"right"
1,"Rpeaks[38]",1596,"left"
1,"Rpeaks[39]",1639,"right"
1,"Rpeaks[40]",1677,"left"
1,"Rpeaks[41]",1719,"right"
1,"Rpeaks[42]",1758,"left"
1,"Rpeaks[43]",1799,"right"
1,"Rpeaks[44]",1837,"left"
1,"Rpeaks[45]",1879,"right"
1,"Rpeaks[46]",1918,"left"
1,"Rpeaks[47]",1957,"right"
1,"Rpeaks[48]",1996,"left"
1,"Rpeaks[49]",2037,"right"
1,"Rpeaks[50]",2077,"left"
1,"Rpeaks[51]",2115,"right"
1,"Rpeaks[52]",2154,"left"
1,"Rpeaks[53]",2195,"right"
1,"Rpeaks[54]",2236,"left"
1,"Rpeaks[55]",2274,"right"
1,"Rpeaks[56]",2314,"left"
1,"Rpeaks[57]",2352,"right"
1,"Rpeaks[58]",2391,"left"
1,"Rpeaks[59]",2431,"right"
1,"Rpeaks[60]",2469,"left"
1,"Rpeaks[61]",2510,"right"
1,"Rpeaks[62]",2549,"left"
1,"Rpeaks[63]",2588,"right"
1,"Rpeaks[64]",2627,"left"
1,"Rpeaks[65]",2667,"right"
1,"Rpeaks[66]",2706,"left"
1,"Rpeaks[67]",2743,"right"
1,"Rpeaks[68]",2783,"left"
1,"Rpeaks[69]",2822,"right"
1,"Rpeaks[70]",2862,"left"
1,"Rpeaks[71]",2901,"right"
1,"Rpeaks[72]",2939,"left"
