"Interval_no","Peaks_Index","Peaks_value"
1,"Rpeaks[0]",66
1,"Rpeaks[1]",102
1,"Rpeaks[2]",137
1,"Rpeaks[3]",170
1,"Rpeaks[4]",205
1,"Rpeaks[5]",239
1,"Rpeaks[6]",274
1,"Rpeaks[7]",308
1,"Rpeaks[8]",343
1,"Rpeaks[9]",377
1,"Rpeaks[10]",413
1,"Rpeaks[11]",446
1,"Rpeaks[12]",482
1,"Rpeaks[13]",516
1,"Rpeaks[14]",552
1,"Rpeaks[15]",586
1,"Rpeaks[16]",621
1,"Rpeaks[17]",655
1,"Rpeaks[18]",690
1,"Rpeaks[19]",725
1,"Rpeaks[20]",761
1,"Rpeaks[21]",795
1,"Rpeaks[22]",831
1,"Rpeaks[23]",866
1,"Rpeaks[24]",900
1,"Rpeaks[25]",934
1,"Rpeaks[26]",969
1,"Rpeaks[27]",1005
1,"Rpeaks[28]",1041
1,"Rpeaks[29]",1111
1,"Rpeaks[30]",1146
1,"Rpeaks[31]",1181
1,"Rpeaks[32]",1215
1,"Rpeaks[33]",1251
1,"Rpeaks[34]",1285
1,"Rpeaks[35]",1321
1,"Rpeaks[36]",1355
1,"Rpeaks[37]",1391
1,"Rpeaks[38]",1424
1,"Rpeaks[39]",1459
1,"Rpeaks[40]",1493
1,"Rpeaks[41]",1528
1,"Rpeaks[42]",1562
1,"Rpeaks[43]",1598
1,"Rpeaks[44]",1632
1,"Rpeaks[45]",1667
1,"Rpeaks[46]",1701
1,"Rpeaks[47]",1735
1,"Rpeaks[48]",1771
1,"Rpeaks[49]",1805
1,"Rpeaks[50]",1839
1,"Rpeaks[51]",1874
1,"Rpeaks[52]",1908
1,"Rpeaks[53]",1943
1,"Rpeaks[54]",1977
1,"Rpeaks[55]",2012
1,"Rpeaks[56]",2046
1,"Rpeaks[57]",2082
1,"Rpeaks[58]",2116
1,"Rpeaks[59]",2151
1,"Rpeaks[60]",2185
1,"Rpeaks[61]",2221
1,"Rpeaks[62]",2254
1,"Rpeaks[63]",2290
1,"Rpeaks[64]",2323
1,"Rpeaks[65]",2360
1,"Rpeaks[66]",2394
1,"Rpeaks[67]",2428
1,"Rpeaks[68]",2463
1,"Rpeaks[69]",2498
1,"Rpeaks[70]",2532
1,"Rpeaks[71]",2568
1,"Rpeaks[72]",2603
1,"Rpeaks[73]",2638
1,"Rpeaks[74]",2672
1,"Rpeaks[75]",2708
1,"Rpeaks[76]",2743
1,"Rpeaks[77]",2778
1,"Rpeaks[78]",2813
1,"Rpeaks[79]",2848
1,"Rpeaks[80]",2883
1,"Rpeaks[81]",2919
1,"Rpeaks[82]",2953
