"x","y","z","interval_no","runtype","packet_no"
-0.4038086,-1.3295898,0.9453125,1,4,207
-0.27294922,-1.1523438,1.0102539,1,4,208
-0.14892578,-1.0864258,1.0620117,1,4,209
-0.03564453,-0.8364258,1.1635742,1,4,210
0.29101562,-0.3100586,2.1879883,1,4,211
0.9111328,0.81933594,3.2651367,1,4,212
1.4321289,0.92578125,4.517578,1,4,213
2.0917969,1.1157227,5.7387695,1,4,214
4.48584,-1.1938477,5.8950195,1,4,215
8.555176,-2.3520508,2.2929688,1,4,216
4.201172,1.8842773,4.8598633,1,4,217
2.7841797,3.2114258,1.6469727,1,4,218
4.095215,2.4360352,3.3574219,1,4,219
5.059082,1.418457,3.2841797,1,4,220
4.107422,1.1459961,2.8735352,1,4,221
4.2036133,0.14941406,2.3979492,1,4,222
4.756836,0.0043945312,2.496582,1,4,223
4.494629,0.3022461,2.4624023,1,4,224
3.753418,0.38427734,2.150879,1,4,225
3.2514648,0.1303711,1.8139648,1,4,226
2.9501953,0.083496094,1.5454102,1,4,227
2.7392578,0.26220703,1.4570312,1,4,228
2.3242188,0.46484375,1.2827148,1,4,229
2.0429688,0.48779297,1.2124023,1,4,230
1.6977539,0.63623047,1.3730469,1,4,231
1.0942383,0.52001953,1.6660156,1,4,232
0.29003906,0.13964844,1.7700195,1,4,233
-0.3696289,-0.38867188,2.0024414,1,4,234
-1.0087891,-1.0249023,2.057129,1,4,235
-2.1274414,-1.5493164,1.9042969,1,4,236
-2.5966797,-2.0800781,1.5532227,1,4,237
-2.2641602,-2.0063477,1.2568359,1,4,238
-1.9350586,-1.2841797,0.9819336,1,4,239
-1.4926758,-0.59716797,1.1157227,1,4,240
-0.8666992,-0.06982422,1.3325195,1,4,241
-0.38183594,0.4638672,1.1083984,1,4,242
-0.24316406,1.0117188,0.83154297,1,4,243
-0.1015625,1.2954102,0.73583984,1,4,244
0.21044922,1.1767578,1.4956055,1,4,245
1.0454102,0.2998047,2.6733398,1,4,246
1.4067383,-0.328125,3.8413086,1,4,247
2.612793,0.025878906,5.882324,1,4,248
5.432617,-0.46679688,5.584961,1,4,249
7.576172,0.23828125,1.9389648,1,4,250
2.828125,-0.072753906,4.4179688,1,4,251
1.6801758,-2.9121094,1.9453125,1,4,252
3.8222656,-2.3374023,3.3305664,1,4,253
5.1445312,-1.2250977,3.2421875,1,4,254
3.930664,-0.7089844,2.961914,1,4,1
3.3144531,-0.19384766,2.8671875,1,4,2
4.147949,-0.13867188,2.4697266,1,4,3
4.7421875,-0.6357422,2.6728516,1,4,4
4.508789,-0.8129883,2.3701172,1,4,5
3.145996,-0.32763672,2.067871,1,4,6
3.1108398,0.2055664,1.8925781,1,4,7
3.0083008,0.24609375,1.6430664,1,4,8
2.442871,0.15039062,1.4501953,1,4,9
2.1074219,0.025390625,1.4887695,1,4,10
1.8022461,-0.12890625,1.5639648,1,4,11
1.0878906,-0.3232422,1.9243164,1,4,12
0.46875,-0.2734375,2.1762695,1,4,13
0.15966797,-0.08496094,2.213379,1,4,14
-0.28515625,0.3383789,2.21875,1,4,15
-1.3095703,0.921875,1.8442383,1,4,16
-1.9306641,1.4482422,1.3759766,1,4,17
-2.1313477,1.465332,1.1831055,1,4,18
-1.8652344,0.8310547,1.1601562,1,4,19
-1.4628906,0.08984375,1.1625977,1,4,20
-0.9589844,-0.76416016,1.0625,1,4,21
-0.4951172,-1.7250977,0.7548828,1,4,22
-0.036132812,-1.8422852,0.8022461,1,4,23
0.23486328,-1.4267578,1.0410156,1,4,24
0.3647461,-1.2602539,1.0908203,1,4,25
0.5205078,-0.9067383,1.9501953,1,4,26
1.2114258,0.28320312,3.2714844,1,4,27
1.5205078,0.7285156,4.835449,1,4,28
2.2026367,0.8149414,5.6171875,1,4,29
3.6523438,0.40478516,5.540039,1,4,30
6.5898438,-0.8173828,2.8208008,1,4,31
5.2856445,1.2148438,3.2573242,1,4,32
3.96875,4.2651367,3.1811523,1,4,33
4.2612305,3.0043945,2.7080078,1,4,34
4.07959,1.8500977,3.086914,1,4,35
3.8447266,1.3676758,2.7822266,1,4,36
4.2958984,0.81689453,2.3642578,1,4,37
4.7939453,0.3125,2.2958984,1,4,38
4.503418,0.2055664,2.2802734,1,4,39
3.644043,0.12109375,2.1152344,1,4,40
3.0708008,-0.15283203,1.7416992,1,4,41
2.824707,-0.49902344,1.5537109,1,4,42
2.6660156,-0.49316406,1.4785156,1,4,43
2.5205078,-0.3491211,1.3178711,1,4,44
2.300293,-0.09765625,1.1987305,1,4,45
1.8583984,0.10986328,1.4277344,1,4,46
1.2050781,0.1772461,1.7294922,1,4,47
0.625,-0.11621094,1.6137695,1,4,48
0.16357422,-0.30615234,1.6889648,1,4,49
-0.51904297,-0.7055664,2.0239258,1,4,50
-1.4106445,-0.89990234,1.9941406,1,4,51
-1.9228516,-1.2827148,1.8896484,1,4,52
-1.7739258,-1.6650391,1.6088867,1,4,53
-1.9980469,-1.4008789,1.3291016,1,4,54
-1.925293,-0.9223633,0.9790039,1,4,55
-1.4697266,-0.3935547,1.0195312,1,4,56
-0.9375,-0.06298828,1.1083984,1,4,57
-0.62402344,0.6147461,1.0844727,1,4,58
-0.5722656,1.4267578,1.081543,1,4,59
-0.22021484,1.465332,0.9741211,1,4,60
0.3696289,0.8730469,1.6171875,1,4,61
1.0878906,-0.29492188,2.7163086,1,4,62
1.9443359,-0.51416016,4.774414,1,4,63
4.352051,-0.6147461,7.8842773,1,4,64
9.352539,-2.25,0.16552734,1,4,65
5.810547,1.8544922,5.496582,1,4,66
1.4707031,-0.3173828,2.274414,1,4,67
2.836914,-1.7402344,2.9145508,1,4,68
5.279297,-1.21875,3.5009766,1,4,69
4.3583984,-1.2363281,3.1010742,1,4,70
