"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"Rpeaks[0]",66,"left"
1,"Rpeaks[1]",102,"right"
1,"Rpeaks[2]",137,"left"
1,"Rpeaks[3]",170,"right"
1,"Rpeaks[4]",205,"left"
1,"Rpeaks[5]",239,"right"
1,"Rpeaks[6]",274,"left"
1,"Rpeaks[7]",308,"right"
1,"Rpeaks[8]",343,"left"
1,"Rpeaks[9]",377,"right"
1,"Rpeaks[10]",413,"left"
1,"Rpeaks[11]",446,"right"
1,"Rpeaks[12]",482,"left"
1,"Rpeaks[13]",516,"right"
1,"Rpeaks[14]",552,"left"
1,"Rpeaks[15]",586,"right"
1,"Rpeaks[16]",621,"left"
1,"Rpeaks[17]",655,"right"
1,"Rpeaks[18]",690,"left"
1,"Rpeaks[19]",725,"right"
1,"Rpeaks[20]",761,"left"
1,"Rpeaks[21]",795,"right"
1,"Rpeaks[22]",831,"left"
1,"Rpeaks[23]",866,"right"
1,"Rpeaks[24]",900,"left"
1,"Rpeaks[25]",934,"right"
1,"Rpeaks[26]",969,"left"
1,"Rpeaks[27]",1005,"right"
1,"Rpeaks[28]",1041,"left"
1,"Rpeaks[29]",1111,"right"
1,"Rpeaks[30]",1146,"left"
1,"Rpeaks[31]",1181,"right"
1,"Rpeaks[32]",1215,"left"
1,"Rpeaks[33]",1251,"right"
1,"Rpeaks[34]",1285,"left"
1,"Rpeaks[35]",1321,"right"
1,"Rpeaks[36]",1355,"left"
1,"Rpeaks[37]",1391,"right"
1,"Rpeaks[38]",1424,"left"
1,"Rpeaks[39]",1459,"right"
1,"Rpeaks[40]",1493,"left"
1,"Rpeaks[41]",1528,"right"
1,"Rpeaks[42]",1562,"left"
1,"Rpeaks[43]",1598,"right"
1,"Rpeaks[44]",1632,"left"
1,"Rpeaks[45]",1667,"right"
1,"Rpeaks[46]",1701,"left"
1,"Rpeaks[47]",1735,"right"
1,"Rpeaks[48]",1771,"left"
1,"Rpeaks[49]",1805,"right"
1,"Rpeaks[50]",1839,"left"
1,"Rpeaks[51]",1874,"right"
1,"Rpeaks[52]",1908,"left"
1,"Rpeaks[53]",1943,"right"
1,"Rpeaks[54]",1977,"left"
1,"Rpeaks[55]",2012,"right"
1,"Rpeaks[56]",2046,"left"
1,"Rpeaks[57]",2082,"right"
1,"Rpeaks[58]",2116,"left"
1,"Rpeaks[59]",2151,"right"
1,"Rpeaks[60]",2185,"left"
1,"Rpeaks[61]",2221,"right"
1,"Rpeaks[62]",2254,"left"
1,"Rpeaks[63]",2290,"right"
1,"Rpeaks[64]",2323,"left"
1,"Rpeaks[65]",2360,"right"
1,"Rpeaks[66]",2394,"left"
1,"Rpeaks[67]",2428,"right"
1,"Rpeaks[68]",2463,"left"
1,"Rpeaks[69]",2498,"right"
1,"Rpeaks[70]",2532,"left"
1,"Rpeaks[71]",2568,"right"
1,"Rpeaks[72]",2603,"left"
1,"Rpeaks[73]",2638,"right"
1,"Rpeaks[74]",2672,"left"
1,"Rpeaks[75]",2708,"right"
1,"Rpeaks[76]",2743,"left"
1,"Rpeaks[77]",2778,"right"
1,"Rpeaks[78]",2813,"left"
1,"Rpeaks[79]",2848,"right"
1,"Rpeaks[80]",2883,"left"
1,"Rpeaks[81]",2919,"right"
1,"Rpeaks[82]",2953,"left"
