"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",35,"left"
1,"peaks[1]",72,"right"
1,"peaks[2]",108,"left"
1,"peaks[3]",145,"right"
1,"peaks[4]",181,"left"
1,"peaks[5]",219,"right"
1,"peaks[6]",252,"left"
1,"peaks[7]",289,"right"
1,"peaks[8]",326,"left"
1,"peaks[9]",363,"right"
1,"peaks[10]",400,"left"
1,"peaks[11]",438,"right"
1,"peaks[12]",473,"left"
1,"peaks[13]",510,"right"
1,"peaks[14]",547,"left"
1,"peaks[15]",584,"right"
1,"peaks[16]",621,"left"
1,"peaks[17]",658,"right"
1,"peaks[18]",695,"left"
1,"peaks[19]",732,"right"
1,"peaks[20]",768,"left"
1,"peaks[21]",805,"right"
1,"peaks[22]",841,"left"
1,"peaks[23]",879,"right"
1,"peaks[24]",915,"left"
1,"peaks[25]",953,"right"
1,"peaks[26]",989,"left"
1,"peaks[27]",1026,"right"
1,"peaks[28]",1062,"left"
1,"peaks[29]",1102,"right"
1,"peaks[30]",1135,"left"
1,"peaks[31]",1172,"right"
1,"peaks[32]",1208,"left"
1,"peaks[33]",1245,"right"
1,"peaks[34]",1281,"left"
1,"peaks[35]",1317,"right"
1,"peaks[36]",1354,"left"
1,"peaks[37]",1390,"right"
1,"peaks[38]",1427,"left"
1,"peaks[39]",1463,"right"
1,"peaks[40]",1500,"left"
1,"peaks[41]",1536,"right"
1,"peaks[42]",1572,"left"
1,"peaks[43]",1612,"right"
1,"peaks[44]",1646,"left"
1,"peaks[45]",1682,"right"
1,"peaks[46]",1720,"left"
1,"peaks[47]",1759,"right"
1,"peaks[48]",1792,"left"
1,"peaks[49]",1831,"right"
1,"peaks[50]",1866,"left"
1,"peaks[51]",1905,"right"
1,"peaks[52]",1941,"left"
1,"peaks[53]",1976,"right"
1,"peaks[54]",2012,"left"
1,"peaks[55]",2052,"right"
1,"peaks[56]",2087,"left"
1,"peaks[57]",2124,"right"
1,"peaks[58]",2158,"left"
1,"peaks[59]",2194,"right"
1,"peaks[60]",2231,"left"
1,"peaks[61]",2272,"right"
1,"peaks[62]",2306,"left"
1,"peaks[63]",2343,"right"
1,"peaks[64]",2380,"left"
1,"peaks[65]",2416,"right"
1,"peaks[66]",2453,"left"
1,"peaks[67]",2490,"right"
1,"peaks[68]",2526,"left"
1,"peaks[69]",2566,"right"
1,"peaks[70]",2599,"left"
1,"peaks[71]",2636,"right"
1,"peaks[72]",2672,"left"
1,"peaks[73]",2708,"right"
1,"peaks[74]",2745,"left"
1,"peaks[75]",2782,"right"
1,"peaks[76]",2818,"left"
1,"peaks[77]",2858,"right"
1,"peaks[78]",2892,"left"
1,"peaks[79]",2932,"right"
