"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",54,"left"
1,"peaks[1]",91,"right"
1,"peaks[2]",129,"left"
1,"peaks[3]",165,"right"
1,"peaks[4]",204,"left"
1,"peaks[5]",240,"right"
1,"peaks[6]",279,"left"
1,"peaks[7]",315,"right"
1,"peaks[8]",353,"left"
1,"peaks[9]",390,"right"
1,"peaks[10]",428,"left"
1,"peaks[11]",464,"right"
1,"peaks[12]",502,"left"
1,"peaks[13]",539,"right"
1,"peaks[14]",578,"left"
1,"peaks[15]",614,"right"
1,"peaks[16]",653,"left"
1,"peaks[17]",689,"right"
1,"peaks[18]",728,"left"
1,"peaks[19]",765,"right"
1,"peaks[20]",802,"left"
1,"peaks[21]",838,"right"
1,"peaks[22]",878,"left"
1,"peaks[23]",914,"right"
1,"peaks[24]",952,"left"
1,"peaks[25]",989,"right"
1,"peaks[26]",1028,"left"
1,"peaks[27]",1064,"right"
1,"peaks[28]",1102,"left"
1,"peaks[29]",1139,"right"
1,"peaks[30]",1177,"left"
1,"peaks[31]",1213,"right"
1,"peaks[32]",1251,"left"
1,"peaks[33]",1288,"right"
1,"peaks[34]",1326,"left"
1,"peaks[35]",1363,"right"
1,"peaks[36]",1402,"left"
1,"peaks[37]",1438,"right"
1,"peaks[38]",1476,"left"
1,"peaks[39]",1512,"right"
1,"peaks[40]",1551,"left"
1,"peaks[41]",1587,"right"
1,"peaks[42]",1625,"left"
1,"peaks[43]",1662,"right"
1,"peaks[44]",1700,"left"
1,"peaks[45]",1736,"right"
1,"peaks[46]",1775,"left"
1,"peaks[47]",1812,"right"
1,"peaks[48]",1849,"left"
1,"peaks[49]",1887,"right"
1,"peaks[50]",1924,"left"
1,"peaks[51]",1959,"right"
1,"peaks[52]",1997,"left"
1,"peaks[53]",2033,"right"
1,"peaks[54]",2073,"left"
1,"peaks[55]",2110,"right"
1,"peaks[56]",2147,"left"
1,"peaks[57]",2183,"right"
1,"peaks[58]",2221,"left"
1,"peaks[59]",2257,"right"
1,"peaks[60]",2296,"left"
1,"peaks[61]",2332,"right"
1,"peaks[62]",2370,"left"
1,"peaks[63]",2406,"right"
1,"peaks[64]",2444,"left"
1,"peaks[65]",2480,"right"
1,"peaks[66]",2519,"left"
1,"peaks[67]",2556,"right"
1,"peaks[68]",2594,"left"
1,"peaks[69]",2630,"right"
1,"peaks[70]",2668,"left"
1,"peaks[71]",2705,"right"
1,"peaks[72]",2742,"left"
1,"peaks[73]",2778,"right"
1,"peaks[74]",2816,"left"
1,"peaks[75]",2853,"right"
1,"peaks[76]",2890,"left"
1,"peaks[77]",2926,"right"
