"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",36,"right"
1,"peaks[1]",71,"left"
1,"peaks[2]",105,"right"
1,"peaks[3]",139,"left"
1,"peaks[4]",175,"right"
1,"peaks[5]",209,"left"
1,"peaks[6]",244,"right"
1,"peaks[7]",278,"left"
1,"peaks[8]",312,"right"
1,"peaks[9]",346,"left"
1,"peaks[10]",381,"right"
1,"peaks[11]",416,"left"
1,"peaks[12]",450,"right"
1,"peaks[13]",484,"left"
1,"peaks[14]",520,"right"
1,"peaks[15]",553,"left"
1,"peaks[16]",588,"right"
1,"peaks[17]",622,"left"
1,"peaks[18]",658,"right"
1,"peaks[19]",691,"left"
1,"peaks[20]",726,"right"
1,"peaks[21]",760,"left"
1,"peaks[22]",796,"right"
1,"peaks[23]",830,"left"
1,"peaks[24]",865,"right"
1,"peaks[25]",899,"left"
1,"peaks[26]",934,"right"
1,"peaks[27]",968,"left"
1,"peaks[28]",1003,"right"
1,"peaks[29]",1038,"left"
1,"peaks[30]",1073,"right"
1,"peaks[31]",1107,"left"
1,"peaks[32]",1143,"right"
1,"peaks[33]",1177,"left"
1,"peaks[34]",1213,"right"
1,"peaks[35]",1247,"left"
1,"peaks[36]",1283,"right"
1,"peaks[37]",1318,"left"
1,"peaks[38]",1353,"right"
1,"peaks[39]",1387,"left"
1,"peaks[40]",1423,"right"
1,"peaks[41]",1456,"left"
1,"peaks[42]",1491,"right"
1,"peaks[43]",1526,"left"
1,"peaks[44]",1561,"right"
1,"peaks[45]",1596,"left"
1,"peaks[46]",1631,"right"
1,"peaks[47]",1666,"left"
1,"peaks[48]",1700,"right"
1,"peaks[49]",1734,"left"
1,"peaks[50]",1769,"right"
1,"peaks[51]",1803,"left"
1,"peaks[52]",1838,"right"
1,"peaks[53]",1872,"left"
1,"peaks[54]",1906,"right"
1,"peaks[55]",1941,"left"
1,"peaks[56]",1977,"right"
1,"peaks[57]",2010,"left"
1,"peaks[58]",2045,"right"
1,"peaks[59]",2079,"left"
1,"peaks[60]",2115,"right"
1,"peaks[61]",2149,"left"
1,"peaks[62]",2184,"right"
1,"peaks[63]",2218,"left"
1,"peaks[64]",2254,"right"
1,"peaks[65]",2287,"left"
1,"peaks[66]",2322,"right"
1,"peaks[67]",2356,"left"
1,"peaks[68]",2392,"right"
1,"peaks[69]",2426,"left"
1,"peaks[70]",2462,"right"
1,"peaks[71]",2496,"left"
1,"peaks[72]",2531,"right"
1,"peaks[73]",2565,"left"
1,"peaks[74]",2600,"right"
1,"peaks[75]",2634,"left"
1,"peaks[76]",2670,"right"
1,"peaks[77]",2704,"left"
1,"peaks[78]",2740,"right"
1,"peaks[79]",2774,"left"
1,"peaks[80]",2809,"right"
1,"peaks[81]",2844,"left"
1,"peaks[82]",2879,"right"
1,"peaks[83]",2914,"left"
