"x","y","z","interval_no","runtype","packet_no"
12.239258,0.18603516,-0.55566406,1,4,1
14.84082,-4.64209,2.7231445,1,4,2
4.8125,-1.4125977,4.402832,1,4,3
-1.6665039,-0.8491211,-0.22216797,1,4,4
1.8549805,-1.2119141,1.6254883,1,4,5
7.3740234,-0.9711914,2.4160156,1,4,6
7.076172,-0.14697266,1.2685547,1,4,7
3.6381836,0.095703125,1.0634766,1,4,8
2.796875,0.21191406,0.9736328,1,4,9
3.684082,0.3876953,1.1206055,1,4,10
3.6601562,0.36865234,1.1757812,1,4,11
3.0166016,0.1430664,1.152832,1,4,12
2.583496,0.023925781,1.1333008,1,4,13
2.1206055,-0.23339844,1.296875,1,4,14
1.7163086,0.036621094,1.2177734,1,4,15
1.2617188,0.07324219,1.1396484,1,4,16
0.9091797,-0.03564453,1.0576172,1,4,17
0.6567383,-0.025390625,1.109375,1,4,18
0.42626953,0.076171875,0.96533203,1,4,19
0.16748047,0.18701172,1.0644531,1,4,20
-0.2548828,0.3984375,1.409668,1,4,21
-0.58251953,0.42041016,1.4780273,1,4,22
-0.75439453,0.43115234,1.3061523,1,4,23
-0.88623047,0.3491211,1.0332031,1,4,24
-0.91308594,0.29052734,1.1445312,1,4,25
-0.9038086,0.17480469,1.2705078,1,4,26
-0.8886719,0.1274414,1.0292969,1,4,27
-0.83691406,0.19482422,0.890625,1,4,28
-0.6933594,0.21972656,0.84472656,1,4,29
-0.53759766,0.2319336,0.7607422,1,4,30
-0.265625,0.21826172,1.0742188,1,4,31
0.23291016,0.15917969,2.149414,1,4,32
0.9453125,0.9277344,5.727051,1,4,33
1.4057617,0.80566406,4.98291,1,4,34
1.3837891,-0.32470703,4.3100586,1,4,35
3.2001953,-3.5141602,2.2265625,1,4,36
8.041504,-4.26709,1.0625,1,4,37
10.368164,-0.3486328,3.494629,1,4,38
5.9838867,1.1245117,2.4726562,1,4,39
3.8969727,5.8999023,0.765625,1,4,40
2.9169922,3.059082,2.5507812,1,4,41
4.0771484,1.5302734,1.8486328,1,4,42
4.9941406,1.6928711,1.3134766,1,4,43
5.196289,0.12451172,1.3305664,1,4,44
4.5356445,-0.7988281,1.1992188,1,4,45
3.5981445,-0.9140625,1.0151367,1,4,46
2.913086,-1.0048828,1.1010742,1,4,47
2.8183594,-1.1850586,0.97216797,1,4,48
2.737793,-0.78125,1.0942383,1,4,49
2.5859375,-0.31103516,1.2094727,1,4,50
2.2128906,0.07421875,1.4121094,1,4,51
1.7138672,0.29882812,1.4291992,1,4,52
1.171875,0.2524414,1.331543,1,4,53
0.7519531,0.10498047,1.1699219,1,4,54
0.48095703,0.06298828,1.2246094,1,4,55
0.17138672,-0.022460938,1.1870117,1,4,56
-0.078125,-0.00048828125,1.284668,1,4,57
