"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"Rpeaks[0]",99,"left"
1,"Rpeaks[1]",135,"right"
1,"Rpeaks[2]",172,"left"
1,"Rpeaks[3]",210,"right"
1,"Rpeaks[4]",246,"left"
1,"Rpeaks[5]",283,"right"
1,"Rpeaks[6]",321,"left"
1,"Rpeaks[7]",357,"right"
1,"Rpeaks[8]",393,"left"
1,"Rpeaks[9]",430,"right"
1,"Rpeaks[10]",467,"left"
1,"Rpeaks[11]",504,"right"
1,"Rpeaks[12]",541,"left"
1,"Rpeaks[13]",577,"right"
1,"Rpeaks[14]",614,"left"
1,"Rpeaks[15]",650,"right"
1,"Rpeaks[16]",688,"left"
1,"Rpeaks[17]",724,"right"
1,"Rpeaks[18]",761,"left"
1,"Rpeaks[19]",798,"right"
1,"Rpeaks[20]",835,"left"
1,"Rpeaks[21]",871,"right"
1,"Rpeaks[22]",909,"left"
1,"Rpeaks[23]",946,"right"
1,"Rpeaks[24]",983,"left"
1,"Rpeaks[25]",1020,"right"
1,"Rpeaks[26]",1057,"left"
1,"Rpeaks[27]",1094,"right"
1,"Rpeaks[28]",1130,"left"
1,"Rpeaks[29]",1167,"right"
1,"Rpeaks[30]",1203,"left"
1,"Rpeaks[31]",1240,"right"
1,"Rpeaks[32]",1278,"left"
1,"Rpeaks[33]",1315,"right"
1,"Rpeaks[34]",1352,"left"
1,"Rpeaks[35]",1389,"right"
1,"Rpeaks[36]",1427,"left"
1,"Rpeaks[37]",1462,"right"
1,"Rpeaks[38]",1500,"left"
1,"Rpeaks[39]",1536,"right"
1,"Rpeaks[40]",1573,"left"
1,"Rpeaks[41]",1610,"right"
1,"Rpeaks[42]",1647,"left"
1,"Rpeaks[43]",1684,"right"
1,"Rpeaks[44]",1721,"left"
1,"Rpeaks[45]",1758,"right"
1,"Rpeaks[46]",1796,"left"
1,"Rpeaks[47]",1833,"right"
1,"Rpeaks[48]",1869,"left"
1,"Rpeaks[49]",1907,"right"
1,"Rpeaks[50]",1944,"left"
1,"Rpeaks[51]",1982,"right"
1,"Rpeaks[52]",2018,"left"
1,"Rpeaks[53]",2055,"right"
1,"Rpeaks[54]",2092,"left"
1,"Rpeaks[55]",2128,"right"
1,"Rpeaks[56]",2166,"left"
1,"Rpeaks[57]",2202,"right"
1,"Rpeaks[58]",2239,"left"
1,"Rpeaks[59]",2275,"right"
1,"Rpeaks[60]",2312,"left"
1,"Rpeaks[61]",2349,"right"
1,"Rpeaks[62]",2387,"left"
1,"Rpeaks[63]",2424,"right"
1,"Rpeaks[64]",2462,"left"
1,"Rpeaks[65]",2498,"right"
1,"Rpeaks[66]",2535,"left"
1,"Rpeaks[67]",2572,"right"
1,"Rpeaks[68]",2608,"left"
1,"Rpeaks[69]",2645,"right"
1,"Rpeaks[70]",2682,"left"
1,"Rpeaks[71]",2719,"right"
1,"Rpeaks[72]",2756,"left"
1,"Rpeaks[73]",2793,"right"
1,"Rpeaks[74]",2830,"left"
1,"Rpeaks[75]",2867,"right"
1,"Rpeaks[76]",2904,"left"
1,"Rpeaks[77]",2941,"right"
