"Interval_no","Peaks_Index","Peaks_value"
1,"Rpeaks[0]",80
1,"Rpeaks[1]",118
1,"Rpeaks[2]",154
1,"Rpeaks[3]",192
1,"Rpeaks[4]",229
1,"Rpeaks[5]",267
1,"Rpeaks[6]",303
1,"Rpeaks[7]",340
1,"Rpeaks[8]",377
1,"Rpeaks[9]",415
1,"Rpeaks[10]",451
1,"Rpeaks[11]",488
1,"Rpeaks[12]",524
1,"Rpeaks[13]",561
1,"Rpeaks[14]",597
1,"Rpeaks[15]",634
1,"Rpeaks[16]",671
1,"Rpeaks[17]",709
1,"Rpeaks[18]",745
1,"Rpeaks[19]",782
1,"Rpeaks[20]",818
1,"Rpeaks[21]",856
1,"Rpeaks[22]",892
1,"Rpeaks[23]",930
1,"Rpeaks[24]",966
1,"Rpeaks[25]",1003
1,"Rpeaks[26]",1039
1,"Rpeaks[27]",1076
1,"Rpeaks[28]",1112
1,"Rpeaks[29]",1150
1,"Rpeaks[30]",1186
1,"Rpeaks[31]",1223
1,"Rpeaks[32]",1259
1,"Rpeaks[33]",1297
1,"Rpeaks[34]",1333
1,"Rpeaks[35]",1370
1,"Rpeaks[36]",1405
1,"Rpeaks[37]",1443
1,"Rpeaks[38]",1479
1,"Rpeaks[39]",1516
1,"Rpeaks[40]",1552
1,"Rpeaks[41]",1590
1,"Rpeaks[42]",1626
1,"Rpeaks[43]",1663
1,"Rpeaks[44]",1699
1,"Rpeaks[45]",1736
1,"Rpeaks[46]",1772
1,"Rpeaks[47]",1809
1,"Rpeaks[48]",1845
1,"Rpeaks[49]",1882
1,"Rpeaks[50]",1918
1,"Rpeaks[51]",1955
1,"Rpeaks[52]",1991
1,"Rpeaks[53]",2028
1,"Rpeaks[54]",2063
1,"Rpeaks[55]",2100
1,"Rpeaks[56]",2136
1,"Rpeaks[57]",2173
1,"Rpeaks[58]",2209
1,"Rpeaks[59]",2246
1,"Rpeaks[60]",2282
1,"Rpeaks[61]",2319
1,"Rpeaks[62]",2355
1,"Rpeaks[63]",2392
1,"Rpeaks[64]",2429
1,"Rpeaks[65]",2467
1,"Rpeaks[66]",2503
1,"Rpeaks[67]",2540
1,"Rpeaks[68]",2576
1,"Rpeaks[69]",2614
1,"Rpeaks[70]",2650
1,"Rpeaks[71]",2687
1,"Rpeaks[72]",2723
1,"Rpeaks[73]",2761
1,"Rpeaks[74]",2796
1,"Rpeaks[75]",2834
1,"Rpeaks[76]",2869
1,"Rpeaks[77]",2907
1,"Rpeaks[78]",2942
