"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"Rpeaks[0]",80,"right"
1,"Rpeaks[1]",118,"left"
1,"Rpeaks[2]",154,"right"
1,"Rpeaks[3]",192,"left"
1,"Rpeaks[4]",229,"right"
1,"Rpeaks[5]",267,"left"
1,"Rpeaks[6]",303,"right"
1,"Rpeaks[7]",340,"left"
1,"Rpeaks[8]",377,"right"
1,"Rpeaks[9]",415,"left"
1,"Rpeaks[10]",451,"right"
1,"Rpeaks[11]",488,"left"
1,"Rpeaks[12]",524,"right"
1,"Rpeaks[13]",561,"left"
1,"Rpeaks[14]",597,"right"
1,"Rpeaks[15]",634,"left"
1,"Rpeaks[16]",671,"right"
1,"Rpeaks[17]",709,"left"
1,"Rpeaks[18]",745,"right"
1,"Rpeaks[19]",782,"left"
1,"Rpeaks[20]",818,"right"
1,"Rpeaks[21]",856,"left"
1,"Rpeaks[22]",892,"right"
1,"Rpeaks[23]",930,"left"
1,"Rpeaks[24]",966,"right"
1,"Rpeaks[25]",1003,"left"
1,"Rpeaks[26]",1039,"right"
1,"Rpeaks[27]",1076,"left"
1,"Rpeaks[28]",1112,"right"
1,"Rpeaks[29]",1150,"left"
1,"Rpeaks[30]",1186,"right"
1,"Rpeaks[31]",1223,"left"
1,"Rpeaks[32]",1259,"right"
1,"Rpeaks[33]",1297,"left"
1,"Rpeaks[34]",1333,"right"
1,"Rpeaks[35]",1370,"left"
1,"Rpeaks[36]",1405,"right"
1,"Rpeaks[37]",1443,"left"
1,"Rpeaks[38]",1479,"right"
1,"Rpeaks[39]",1516,"left"
1,"Rpeaks[40]",1552,"right"
1,"Rpeaks[41]",1590,"left"
1,"Rpeaks[42]",1626,"right"
1,"Rpeaks[43]",1663,"left"
1,"Rpeaks[44]",1699,"right"
1,"Rpeaks[45]",1736,"left"
1,"Rpeaks[46]",1772,"right"
1,"Rpeaks[47]",1809,"left"
1,"Rpeaks[48]",1845,"right"
1,"Rpeaks[49]",1882,"left"
1,"Rpeaks[50]",1918,"right"
1,"Rpeaks[51]",1955,"left"
1,"Rpeaks[52]",1991,"right"
1,"Rpeaks[53]",2028,"left"
1,"Rpeaks[54]",2063,"right"
1,"Rpeaks[55]",2100,"left"
1,"Rpeaks[56]",2136,"right"
1,"Rpeaks[57]",2173,"left"
1,"Rpeaks[58]",2209,"right"
1,"Rpeaks[59]",2246,"left"
1,"Rpeaks[60]",2282,"right"
1,"Rpeaks[61]",2319,"left"
1,"Rpeaks[62]",2355,"right"
1,"Rpeaks[63]",2392,"left"
1,"Rpeaks[64]",2429,"right"
1,"Rpeaks[65]",2467,"left"
1,"Rpeaks[66]",2503,"right"
1,"Rpeaks[67]",2540,"left"
1,"Rpeaks[68]",2576,"right"
1,"Rpeaks[69]",2614,"left"
1,"Rpeaks[70]",2650,"right"
1,"Rpeaks[71]",2687,"left"
1,"Rpeaks[72]",2723,"right"
1,"Rpeaks[73]",2761,"left"
1,"Rpeaks[74]",2796,"right"
1,"Rpeaks[75]",2834,"left"
1,"Rpeaks[76]",2869,"right"
1,"Rpeaks[77]",2907,"left"
1,"Rpeaks[78]",2942,"right"
