"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",59,"right"
1,"peaks[1]",92,"left"
1,"peaks[2]",125,"right"
1,"peaks[3]",157,"left"
1,"peaks[4]",190,"right"
1,"peaks[5]",223,"left"
1,"peaks[6]",257,"right"
1,"peaks[7]",290,"left"
1,"peaks[8]",322,"right"
1,"peaks[9]",356,"left"
1,"peaks[10]",389,"right"
1,"peaks[11]",422,"left"
1,"peaks[12]",455,"right"
1,"peaks[13]",488,"left"
1,"peaks[14]",520,"right"
1,"peaks[15]",553,"left"
1,"peaks[16]",587,"right"
1,"peaks[17]",620,"left"
1,"peaks[18]",653,"right"
1,"peaks[19]",686,"left"
1,"peaks[20]",719,"right"
1,"peaks[21]",753,"left"
1,"peaks[22]",787,"right"
1,"peaks[23]",820,"left"
1,"peaks[24]",853,"right"
1,"peaks[25]",887,"left"
1,"peaks[26]",920,"right"
1,"peaks[27]",953,"left"
1,"peaks[28]",986,"right"
1,"peaks[29]",1019,"left"
1,"peaks[30]",1052,"right"
1,"peaks[31]",1086,"left"
1,"peaks[32]",1119,"right"
1,"peaks[33]",1152,"left"
1,"peaks[34]",1185,"right"
1,"peaks[35]",1219,"left"
1,"peaks[36]",1252,"right"
1,"peaks[37]",1285,"left"
1,"peaks[38]",1318,"right"
1,"peaks[39]",1352,"left"
1,"peaks[40]",1385,"right"
1,"peaks[41]",1418,"left"
1,"peaks[42]",1452,"right"
1,"peaks[43]",1485,"left"
1,"peaks[44]",1518,"right"
1,"peaks[45]",1551,"left"
1,"peaks[46]",1584,"right"
1,"peaks[47]",1618,"left"
1,"peaks[48]",1652,"right"
1,"peaks[49]",1685,"left"
1,"peaks[50]",1719,"right"
1,"peaks[51]",1753,"left"
1,"peaks[52]",1786,"right"
1,"peaks[53]",1819,"left"
1,"peaks[54]",1852,"right"
1,"peaks[55]",1885,"left"
1,"peaks[56]",1918,"right"
1,"peaks[57]",1952,"left"
1,"peaks[58]",1985,"right"
1,"peaks[59]",2019,"left"
1,"peaks[60]",2052,"right"
1,"peaks[61]",2085,"left"
1,"peaks[62]",2118,"right"
1,"peaks[63]",2151,"left"
1,"peaks[64]",2184,"right"
1,"peaks[65]",2217,"left"
1,"peaks[66]",2250,"right"
1,"peaks[67]",2284,"left"
1,"peaks[68]",2318,"right"
1,"peaks[69]",2351,"left"
1,"peaks[70]",2384,"right"
1,"peaks[71]",2418,"left"
1,"peaks[72]",2451,"right"
1,"peaks[73]",2485,"left"
1,"peaks[74]",2518,"right"
1,"peaks[75]",2552,"left"
1,"peaks[76]",2585,"right"
1,"peaks[77]",2618,"left"
1,"peaks[78]",2651,"right"
1,"peaks[79]",2685,"left"
1,"peaks[80]",2718,"right"
1,"peaks[81]",2751,"left"
1,"peaks[82]",2784,"right"
1,"peaks[83]",2818,"left"
1,"peaks[84]",2851,"right"
1,"peaks[85]",2886,"left"
1,"peaks[86]",2919,"right"
