"x","y","z","interval_no","pause/unpause","data_sample_no","packet_no","App_Interval_no","RunType"
4.4990234,0.18554688,1.1557617,1,0,1,1,1,4
4.770508,-0.31884766,0.8574219,1,0,2,1,1,4
4.597168,-0.46728516,0.7944336,1,0,3,1,1,4
4.071289,-0.34960938,0.87109375,1,0,4,1,1,4
3.5444336,-0.032226562,1.0800781,1,0,5,1,1,4
3.3623047,0.122558594,0.84765625,1,0,6,1,1,4
3.180664,0.21923828,0.8027344,1,0,7,1,1,4
2.8925781,0.16357422,0.9145508,1,0,8,1,1,4
2.4750977,0.099609375,1.0146484,1,0,9,1,1,4
2.0239258,-0.068359375,1.237793,1,0,10,1,1,4
1.4350586,-0.24902344,1.1796875,1,0,11,1,1,4
0.74609375,-0.0068359375,1.1308594,1,0,12,1,1,4
0.26367188,-0.1352539,1.1831055,1,0,13,1,1,4
-0.16210938,-0.64160156,1.140625,1,0,14,1,1,4
-0.3256836,-1.1123047,1.3007812,1,0,15,1,1,4
-0.43164062,-1.2563477,1.6865234,1,0,16,1,1,4
-0.5913086,-1.0761719,1.9179688,1,0,17,1,1,4
-0.7944336,-0.73583984,1.9277344,1,0,18,1,1,4
-0.8100586,-0.32763672,1.8139648,1,0,19,2,1,4
-0.68115234,-0.109375,1.5273438,1,0,20,2,1,4
-0.49072266,0.2006836,1.4160156,1,0,21,2,1,4
-0.3232422,0.4404297,1.1572266,1,0,22,2,1,4
-0.107421875,0.609375,1.0102539,1,0,23,2,1,4
0.064941406,0.5800781,1.1386719,1,0,24,2,1,4
0.19677734,0.4350586,1.0356445,1,0,25,2,1,4
1.2055664,0.42089844,3.0644531,1,0,26,2,1,4
1.734375,0.9272461,5.067383,1,0,27,2,1,4
2.5019531,0.3232422,4.154785,1,0,28,2,1,4
4.7407227,2.8896484,1.4023438,1,0,29,2,1,4
4.2333984,3.9248047,0.90966797,1,0,30,2,1,4
3.4550781,-0.7729492,2.4604492,1,0,31,2,1,4
5.040039,-3.3530273,2.724121,1,0,32,2,1,4
5.012207,-4.48584,0.8833008,1,0,33,2,1,4
3.9243164,-3.53125,1.8769531,1,0,34,2,1,4
4.8325195,-1.7314453,1.7832031,1,0,35,2,1,4
4.6308594,-0.17333984,1.9643555,1,0,36,2,1,4
4.459961,0.41503906,1.4799805,1,0,37,3,1,4
4.2680664,0.7631836,1.2958984,1,0,38,3,1,4
3.8676758,0.69970703,1.0600586,1,0,39,3,1,4
3.5493164,0.41601562,1.0883789,1,0,40,3,1,4
3.333496,0.028808594,1.1640625,1,0,41,3,1,4
3.2319336,-0.25195312,1.1064453,1,0,42,3,1,4
3.2089844,-0.265625,1.0874023,1,0,43,3,1,4
3.1791992,-0.2626953,1.1508789,1,0,44,3,1,4
2.7299805,-0.2290039,1.046875,1,0,45,3,1,4
1.9892578,-0.27685547,0.9609375,1,0,46,3,1,4
1.03125,-0.43896484,1.105957,1,0,47,3,1,4
0.08886719,-0.4790039,1.6479492,1,0,48,3,1,4
-0.52978516,-0.2763672,1.6035156,1,0,49,3,1,4
-0.5161133,-0.36328125,0.84521484,1,0,50,3,1,4
-0.5258789,-0.17675781,0.42919922,1,0,51,3,1,4
-0.54589844,0.48779297,1.1606445,1,0,52,3,1,4
