"x","y","z","interval_no"
2.0019531,-0.15136719,1.3520508,1
1.972168,-0.15917969,1.3378906,1
1.9521484,-0.11816406,1.3212891,1
1.953125,-0.08496094,1.3305664,1
1.9887695,-0.064941406,1.3203125,1
2.0493164,-0.00048828125,1.3256836,1
2.1132812,0.072265625,1.359375,1
2.1879883,0.1274414,1.4082031,1
2.2250977,0.15283203,1.4462891,1
2.229004,0.09716797,1.4482422,1
2.2285156,0.049804688,1.4458008,1
2.1870117,-0.018554688,1.3881836,1
2.0996094,-0.045898438,1.3579102,1
2.036621,-0.079589844,1.3598633,1
1.9316406,-0.11669922,1.3779297,1
1.9819336,-0.11376953,1.4262695,1
1.9638672,-0.1381836,1.4453125,1
1.9814453,-0.17333984,1.4956055,1
2.0117188,-0.20996094,1.559082,1
2.0698242,-0.22265625,1.5805664,1
2.130371,-0.2607422,1.5820312,1
2.1264648,-0.27978516,1.53125,1
2.1469727,-0.2626953,1.4750977,1
2.1484375,-0.11621094,1.4213867,1
2.1445312,-0.0126953125,1.4091797,1
2.1450195,0.107910156,1.4765625,1
2.1938477,0.11035156,1.4750977,1
2.165039,0.125,1.5263672,1
2.1088867,0.08544922,1.5473633,1
2.0751953,0.014160156,1.5366211,1
2.0458984,-0.08691406,1.5595703,1
2.0688477,-0.2109375,1.5527344,1
1.980957,-0.21923828,1.4511719,1
1.972168,-0.22851562,1.5141602,1
1.9672852,-0.20263672,1.5014648,1
1.9794922,-0.14550781,1.5166016,1
1.9892578,-0.13085938,1.515625,1
1.9912109,-0.12402344,1.5170898,1
2.0161133,-0.14404297,1.559082,1
1.9853516,-0.15527344,1.5629883,1
1.9511719,-0.16015625,1.6040039,1
1.8793945,-0.17626953,1.6650391,1
1.8154297,-0.1821289,1.7080078,1
1.7436523,-0.22509766,1.7260742,1
1.706543,-0.25097656,1.7685547,1
1.6865234,-0.27490234,1.8012695,1
1.6835938,-0.30664062,1.8032227,1
1.7089844,-0.31640625,1.8291016,1
1.7602539,-0.30664062,1.8427734,1
1.8100586,-0.26757812,1.8188477,1
1.8583984,-0.2529297,1.8066406,1
1.8886719,-0.23144531,1.784668,1
1.9501953,-0.21875,1.7348633,1
1.9550781,-0.20751953,1.6933594,1
1.9995117,-0.18115234,1.6782227,1
2.0478516,-0.18359375,1.6699219,1
2.0395508,-0.17480469,1.6567383,1
2.03125,-0.1850586,1.6484375,1
2.0683594,-0.22167969,1.6113281,1
2.0195312,-0.22363281,1.6025391,1
