"x","y","z","interval_no"
2.847168,0.29248047,1.4316406,1
2.7304688,0.43017578,1.4785156,1
2.5336914,0.3852539,1.2563477,1
2.4868164,0.22802734,1.328125,1
2.5805664,0.103515625,1.5327148,1
2.6376953,-0.0703125,1.5947266,1
2.5478516,-0.19482422,1.7285156,1
2.4296875,-0.2163086,1.7929688,1
2.258789,-0.28808594,1.8925781,1
2.1328125,-0.1928711,2.0170898,1
2.0742188,0.015136719,2.078125,1
2.1225586,0.2602539,2.081543,1
2.1298828,0.28955078,2.0751953,1
2.1269531,0.23632812,2.0029297,1
2.0981445,0.19042969,1.9760742,1
1.9633789,0.15625,1.8745117,1
1.8681641,0.030761719,1.8310547,1
1.9897461,-0.11035156,1.7890625,1
2.206543,-0.23876953,1.7734375,1
2.177246,-0.28857422,1.6772461,1
2.1376953,-0.24560547,1.6240234,1
1.9814453,-0.12890625,1.5981445,1
1.8496094,0.024414062,1.5546875,1
1.7626953,0.15820312,1.5415039,1
1.8364258,0.23730469,1.5332031,1
1.8842773,0.2475586,1.5068359,1
1.7475586,0.23486328,1.4057617,1
1.746582,0.17578125,1.4360352,1
1.6645508,0.12597656,1.4155273,1
1.6577148,0.09277344,1.3227539,1
1.7729492,0.034179688,1.3525391,1
1.6416016,0.015625,1.3476562,1
1.6850586,0.016601562,1.2988281,1
1.6782227,0.017578125,1.2817383,1
1.675293,0.040527344,1.3222656,1
1.6293945,0.06591797,1.2866211,1
1.6606445,0.099609375,1.28125,1
1.6088867,0.046875,1.2670898,1
1.605957,0.011230469,1.2456055,1
1.6132812,-0.014160156,1.1806641,1
1.6762695,-0.032226562,1.1928711,1
1.7011719,-0.032714844,1.1650391,1
1.6982422,-0.07470703,1.1474609,1
1.7548828,-0.07373047,1.1245117,1
1.7822266,-0.06640625,1.0834961,1
1.7094727,-0.07470703,1.046875,1
1.6992188,-0.072265625,1.0322266,1
1.6728516,-0.059570312,0.9980469,1
1.7128906,-0.06542969,1.0498047,1
1.8164062,-0.092285156,1.1323242,1
1.9433594,0.028808594,1.2363281,1
2.090332,0.1821289,1.3178711,1
2.1552734,0.40429688,1.2841797,1
2.2944336,0.5390625,1.2954102,1
2.3613281,0.5805664,1.2006836,1
2.3920898,0.43847656,1.0507812,1
2.4526367,0.2602539,0.9838867,1
2.6123047,0.030761719,0.92626953,1
2.8686523,-0.1352539,0.78564453,1
3.0551758,-0.1821289,0.85498047,1
3.1274414,-0.20947266,1.5083008,1
2.979004,-0.3408203,1.6948242,1
2.762207,-0.4975586,1.5800781,1
2.600586,-0.55908203,1.4736328,1
2.463379,-0.48779297,1.5200195,1
2.3896484,-0.2919922,1.5258789,1
2.2338867,0.021484375,1.4819336,1
2.1845703,0.011230469,1.6640625,1
2.0498047,-0.005859375,1.7426758,1
1.8525391,0.09667969,1.9472656,1
1.7392578,-0.018066406,2.0668945,1
1.6572266,-0.203125,2.0112305,1
1.6928711,-0.40429688,1.9443359,1
1.8085938,-0.47509766,1.9291992,1
1.9155273,-0.41503906,1.8793945,1
2.0112305,-0.37597656,1.8032227,1
2.0463867,-0.24804688,1.7578125,1
2.2822266,-0.06982422,1.7880859,1
2.4458008,0.06591797,1.7412109,1
2.4594727,0.21923828,1.7763672,1
2.262207,0.25732422,1.7441406,1
2.0688477,0.22216797,1.7358398,1
1.9521484,0.12451172,1.7016602,1
1.8286133,-0.01953125,1.6254883,1
1.7773438,-0.0390625,1.6323242,1
1.8847656,-0.05908203,1.6342773,1
1.9868164,-0.052246094,1.565918,1
1.8671875,-0.09326172,1.465332,1
1.9389648,-0.087402344,1.4951172,1
1.7192383,-0.10888672,1.3901367,1
1.7231445,-0.012207031,1.4267578,1
1.6782227,0.022949219,1.3911133,1
1.6875,0.037109375,1.3862305,1
1.7104492,-0.0014648438,1.3920898,1
1.5673828,-0.046875,1.3051758,1
1.5932617,-0.063964844,1.3339844,1
1.6274414,-0.09326172,1.2998047,1
1.5332031,-0.123046875,1.3012695,1
1.5869141,-0.068847656,1.2636719,1
1.5952148,-0.072753906,1.2817383,1
1.5878906,-0.041992188,1.2075195,1
1.6308594,0.0014648438,1.2045898,1
1.5834961,0.08642578,1.1870117,1
1.6577148,0.109375,1.1176758,1
1.6650391,0.17626953,1.0849609,1
1.6425781,0.19335938,0.984375,1
1.7021484,0.21435547,0.94189453,1
1.7133789,0.19091797,0.93408203,1
1.7802734,0.13671875,0.984375,1
1.8105469,0.053710938,1.0439453,1
1.9262695,-0.096191406,1.1206055,1
2.019043,-0.23730469,1.1787109,1
2.0234375,-0.33789062,1.1748047,1
2.046875,-0.44091797,1.1645508,1
2.1694336,-0.5107422,1.1508789,1
2.418457,-0.5541992,1.1054688,1
2.6889648,-0.5,0.9345703,1
2.8168945,-0.39111328,0.87890625,1
2.8823242,-0.29736328,0.83691406,1
2.9624023,-0.23095703,1.0913086,1
2.9458008,-0.012207031,1.402832,1
2.788086,0.3359375,1.4458008,1
2.6743164,0.5527344,1.4257812,1
2.4238281,0.4794922,1.3623047,1
2.383789,0.375,1.5014648,1
2.3530273,0.1459961,1.4916992,1
2.3925781,-0.05859375,1.4960938,1
2.3339844,-0.16845703,1.5712891,1
2.3095703,-0.34570312,1.7119141,1
2.159668,-0.35205078,1.9672852,1
2.0473633,-0.1430664,2.0878906,1
2.1220703,0.1328125,2.1010742,1
2.159668,0.22851562,2.0771484,1
2.2021484,0.22998047,2.0161133,1
2.2226562,0.2421875,1.9472656,1
2.1601562,0.2265625,1.8891602,1
2.0732422,0.08496094,1.8657227,1
2.0585938,-0.0063476562,1.7807617,1
2.2148438,-0.1352539,1.7929688,1
2.290039,-0.20458984,1.706543,1
2.2104492,-0.19726562,1.6899414,1
2.0151367,-0.16308594,1.6518555,1
1.7753906,0.009765625,1.5200195,1
1.8598633,0.07519531,1.5478516,1
1.8310547,0.13378906,1.5458984,1
1.8583984,0.1821289,1.5063477,1
1.9770508,0.18847656,1.4545898,1
1.8867188,0.15478516,1.4536133,1
1.8911133,0.125,1.3837891,1
1.828125,0.052246094,1.3642578,1
1.7739258,0.0073242188,1.3466797,1
1.7734375,-0.03564453,1.3183594,1
1.6577148,-0.02734375,1.2983398,1
1.6606445,-0.025390625,1.2739258,1
1.659668,-0.0073242188,1.2641602,1
1.6577148,0.026367188,1.2680664,1
1.621582,0.03564453,1.230957,1
1.5991211,0.021972656,1.2109375,1
1.5537109,0.03515625,1.222168,1
1.5253906,0.0073242188,1.1801758,1
1.5395508,-0.0234375,1.1660156,1
1.6123047,-0.08105469,1.1679688,1
1.6201172,-0.11425781,1.1269531,1
1.6655273,-0.095214844,1.0883789,1
1.6889648,-0.06201172,1.0693359,1
1.6889648,-0.076171875,1.0673828,1
1.7026367,-0.087890625,1.0351562,1
1.6616211,-0.091796875,1.0214844,1
1.7075195,-0.059570312,1.059082,1
1.7519531,0.008300781,1.1083984,1
1.871582,0.083984375,1.2021484,1
1.9672852,0.15332031,1.2446289,1
2.0332031,0.25585938,1.3212891,1
2.0390625,0.33984375,1.3056641,1
2.1743164,0.38964844,1.2426758,1
2.3613281,0.41992188,1.1308594,1
2.5029297,0.39892578,1.0107422,1
2.5493164,0.25878906,0.9375,1
2.6728516,0.107421875,0.93310547,1
2.8916016,-0.068359375,0.9682617,1
3.0961914,-0.1772461,1.1455078,1
3.144043,-0.25,1.2915039,1
3.0200195,-0.30566406,1.3378906,1
2.7607422,-0.390625,1.2675781,1
2.520996,-0.4321289,1.2026367,1
2.4604492,-0.30078125,1.3383789,1
2.4848633,-0.063964844,1.5087891,1
2.413086,0.14941406,1.625,1
2.3051758,0.06982422,1.7055664,1
2.2045898,0.017578125,1.8671875,1
1.9628906,-0.03466797,1.8510742,1
1.7626953,-0.22558594,1.9243164,1
1.7050781,-0.36914062,1.9306641,1
1.6210938,-0.4267578,1.909668,1
1.6328125,-0.36132812,1.9375,1
1.7529297,-0.23095703,1.9042969,1
1.8515625,-0.1328125,1.8364258,1
2.03125,-0.076171875,1.8037109,1
2.3164062,0.011230469,1.7558594,1
2.65625,0.13427734,1.7583008,1
2.7539062,0.22314453,1.7631836,1
2.581543,0.1586914,1.7128906,1
2.241211,0.08984375,1.7119141,1
2.0039062,-0.03515625,1.6625977,1
1.878418,-0.13330078,1.6630859,1
1.9555664,-0.18408203,1.6518555,1
1.828125,-0.20458984,1.5620117,1
1.8666992,-0.19677734,1.5400391,1
1.8979492,-0.2758789,1.5366211,1
1.8686523,-0.2368164,1.5048828,1
1.7426758,-0.1821289,1.4487305,1
1.703125,-0.06640625,1.4448242,1
1.7021484,-0.011230469,1.4272461,1
1.5698242,-0.027832031,1.3706055,1
1.590332,-0.0546875,1.4389648,1
1.6621094,-0.036621094,1.3935547,1
1.6459961,-0.03466797,1.3764648,1
1.6699219,-0.064453125,1.3671875,1
1.512207,-0.0703125,1.3676758,1
1.487793,-0.068847656,1.3115234,1
1.4907227,-0.022460938,1.2749023,1
1.5195312,0.033203125,1.2299805,1
1.5356445,0.099121094,1.2226562,1
1.5878906,0.15136719,1.1889648,1
1.637207,0.1821289,1.1342773,1
1.734375,0.1928711,1.078125,1
1.8164062,0.17871094,1.0722656,1
1.8481445,0.12207031,1.0449219,1
1.8178711,0.053222656,1.0454102,1
1.8388672,-0.0078125,1.0942383,1
1.8486328,-0.04638672,1.1650391,1
1.8666992,-0.095214844,1.2045898,1
1.8261719,-0.16992188,1.1914062,1
1.8398438,-0.26367188,1.1445312,1
1.8881836,-0.30810547,1.140625,1
2.0424805,-0.2685547,1.1020508,1
2.2910156,-0.13574219,0.984375,1
2.5302734,-0.025878906,0.86865234,1
2.6694336,0.033203125,0.74902344,1
2.8183594,0.030761719,0.7949219,1
2.915039,-0.014160156,0.79541016,1
2.8588867,-0.025390625,0.89941406,1
2.8251953,0.05126953,1.3686523,1
2.7612305,0.2006836,1.8955078,1
2.519043,0.34716797,1.6586914,1
2.4135742,0.4169922,1.4956055,1
2.430664,0.3359375,1.5083008,1
2.3935547,0.16894531,1.4804688,1
2.4311523,-0.026367188,1.4448242,1
2.4638672,-0.06347656,1.4589844,1
2.3110352,-0.2368164,1.5942383,1
2.2124023,-0.3413086,1.8735352,1
