"x","y","z","interval_no","pause/unpause","data_sample_no","packet_no","App_Interval_no","RunType"
4.5356445,-2.333496,0.41308594,1,0,1,1,1,4
4.4785156,-1.612793,0.063964844,1,0,2,1,1,4
4.0688477,-0.6972656,0.32861328,1,0,3,1,1,4
4.0249023,-0.55126953,0.64697266,1,0,4,1,1,4
3.4282227,-0.45117188,1.0996094,1,0,5,1,1,4
2.8012695,-0.41748047,1.8115234,1,0,6,1,1,4
2.4916992,-0.58496094,2.0170898,1,0,7,1,1,4
2.3515625,-0.3671875,1.8798828,1,0,8,1,1,4
1.9624023,-0.44433594,2.3115234,1,0,9,1,1,4
1.9047852,-0.31835938,2.430664,1,0,10,1,1,4
1.9604492,-0.22070312,2.4335938,1,0,11,1,1,4
2.1191406,-0.018554688,2.4516602,1,0,12,1,1,4
2.540039,0.17138672,2.432129,1,0,13,1,1,4
2.974121,0.09716797,2.552246,1,0,14,1,1,4
3.5390625,-0.296875,2.4960938,1,0,15,1,1,4
3.8666992,-0.64453125,2.3500977,1,0,16,1,1,4
3.803711,-0.43359375,2.3188477,1,0,17,1,1,4
3.4921875,0.06347656,1.9702148,1,0,18,1,1,4
2.9091797,0.19628906,1.934082,1,0,19,2,1,4
2.385254,-0.0009765625,1.800293,1,0,20,2,1,4
2.0952148,-0.25439453,1.6542969,1,0,21,2,1,4
1.7504883,-0.44970703,1.453125,1,0,22,2,1,4
1.559082,-0.5239258,1.347168,1,0,23,2,1,4
1.3569336,-0.4970703,1.2978516,1,0,24,2,1,4
1.2719727,-0.3022461,1.1982422,1,0,25,2,1,4
1.0556641,-0.21582031,1.0981445,1,0,26,2,1,4
1.0361328,-0.18261719,1.1103516,1,0,27,2,1,4
0.94873047,-0.16552734,1.1933594,1,0,28,2,1,4
0.7910156,-0.19042969,1.1425781,1,0,29,2,1,4
0.88671875,-0.12548828,1.21875,1,0,30,2,1,4
1.0371094,-0.063964844,1.1831055,1,0,31,2,1,4
0.79248047,-0.15673828,1.0400391,1,0,32,2,1,4
0.80322266,-0.09423828,1.0576172,1,0,33,2,1,4
0.84521484,-0.10253906,1.0053711,1,0,34,2,1,4
0.7680664,-0.045898438,0.97558594,1,0,35,2,1,4
0.7080078,-0.087402344,0.88671875,1,0,36,2,1,4
0.7060547,-0.17529297,0.8457031,1,0,37,3,1,4
0.6958008,-0.2368164,0.9111328,1,0,38,3,1,4
0.7416992,-0.27392578,1.0415039,1,0,39,3,1,4
0.8691406,-0.24658203,1.2734375,1,0,40,3,1,4
1.0258789,-0.22265625,1.4013672,1,0,41,3,1,4
1.2514648,-0.32666016,1.4277344,1,0,42,3,1,4
1.4091797,-0.43310547,1.3295898,1,0,43,3,1,4
1.5922852,-0.45263672,1.2290039,1,0,44,3,1,4
